id,name,class_year,pronunciation,source,notes
alex-machaskee-2010,Alex Machaskee,2010,,,Needs sourced pronunciation guidance before visitor display.
august-pust-2010,August Pust,2010,,,Needs sourced pronunciation guidance before visitor display.
dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,2010,,,Needs sourced pronunciation guidance before visitor display.
helen-karpinski-1899-2002-2010,Helen Karpinski (1899 – 2002),2010,,,Needs sourced pronunciation guidance before visitor display.
irene-morrow-2010,Irene Morrow,2010,,,Needs sourced pronunciation guidance before visitor display.
jeanette-grasselli-brown-2010,Jeanette Grasselli Brown,2010,,,Needs sourced pronunciation guidance before visitor display.
leo-weidenthal-2010,Leo Weidenthal,2010,,,Needs sourced pronunciation guidance before visitor display.
lonnie-mccauley-2010,Lonnie McCauley,2010,,,Needs sourced pronunciation guidance before visitor display.
margaret-w-wong-2010,Margaret W. Wong,2010,,,Needs sourced pronunciation guidance before visitor display.
paramjit-singh-2010,Paramjit Singh,2010,,,Needs sourced pronunciation guidance before visitor display.
paul-sciria-2010,Paul Sciria,2010,,,Needs sourced pronunciation guidance before visitor display.
robert-j-haas-2010,Robert J. Haas,2010,,,Needs sourced pronunciation guidance before visitor display.
senator-george-voinovich-2010,Senator George Voinovich,2010,,,Needs sourced pronunciation guidance before visitor display.
albert-b-ratner-2011,Albert B. Ratner,2011,,,Needs sourced pronunciation guidance before visitor display.
gerald-m-quinn-2011,Gerald M. Quinn,2011,,,Needs sourced pronunciation guidance before visitor display.
giahoa-ryan-2011,Giahoa Ryan,2011,,,Needs sourced pronunciation guidance before visitor display.
lucretia-stoica-2011,Lucretia Stoica,2011,,,Needs sourced pronunciation guidance before visitor display.
luis-martinez-2011,Luis Martinez,2011,,,Needs sourced pronunciation guidance before visitor display.
ralph-j-perk-2011,Ralph J. Perk,2011,,,Needs sourced pronunciation guidance before visitor display.
reverend-dr-otis-moss-jr-2011,"Reverend Dr. Otis Moss, Jr.",2011,,,Needs sourced pronunciation guidance before visitor display.
tony-petkovsek-2011,Tony Petkovsek,2011,,,Needs sourced pronunciation guidance before visitor display.
vijaya-l-emani-2011,Vijaya L. Emani,2011,,,Needs sourced pronunciation guidance before visitor display.
anthony-yen-yan-yuan-tai-2012,Anthony Yen (Yan Yuan Tai),2012,,,Needs sourced pronunciation guidance before visitor display.
dr-jaya-shah-2012,Dr. Jaya Shah,2012,,,Needs sourced pronunciation guidance before visitor display.
fr-jim-o-donnell-2012,Fr. Jim O’Donnell,2012,,,Needs sourced pronunciation guidance before visitor display.
hon-mary-rose-oakar-2012,Hon. Mary Rose Oakar,2012,,,Needs sourced pronunciation guidance before visitor display.
jose-c-feliciano-2012,José C. Feliciano,2012,,,Needs sourced pronunciation guidance before visitor display.
ken-kovach-2012,Ken Kovach,2012,,,Needs sourced pronunciation guidance before visitor display.
milton-maltz-2012,Milton Maltz,2012,,,Needs sourced pronunciation guidance before visitor display.
vladimir-rus-2012,Vladimir Rus,2012,,,Needs sourced pronunciation guidance before visitor display.
bishop-a-edward-pevec-2013,Bishop A. Edward Pevec,2013,,,Needs sourced pronunciation guidance before visitor display.
dr-maria-pujana-2013,Dr. Maria Pujana,2013,,,Needs sourced pronunciation guidance before visitor display.
jack-coyne-2013,Jack Coyne,2013,,,Needs sourced pronunciation guidance before visitor display.
josef-holzer-2013,Josef Holzer,2013,,,Needs sourced pronunciation guidance before visitor display.
nacy-panzica-2013,Nacy Panzica,2013,,,Needs sourced pronunciation guidance before visitor display.
ratanjit-s-sondhe-2013,Ratanjit S. Sondhe,2013,,,Needs sourced pronunciation guidance before visitor display.
samuel-h-miller-2013,Samuel H. Miller,2013,,,Needs sourced pronunciation guidance before visitor display.
donna-hom-2014,Donna Hom,2014,,,Needs sourced pronunciation guidance before visitor display.
