id,name,classYear,provenance,currentText,correctedText,useSourceText,decisionReference,note
jeanette-grasselli-brown-2010,,,,,"Jeanette Grasselli Brown spent 38 years in industrial research, retiring in 1989 as Director of Corporate Research for BP America, formerly The Standard Oil Company. From 1989 to 1995, she served as Distinguished Visiting Professor and Director of Research Enhancement at Ohio University. In 1995, Governor George Voinovich appointed her to the Ohio Board of Regents, the coordinating body for higher education in the state. She was reappointed by Governor Bob Taft in 1999 and later served as Chair of the Board. In 2002, she was Vice Chair of the Governor’s Commission on Teacher Success.

Brown earned a B.S. from Ohio University and an M.S. in Chemistry from Case Western Reserve University. A noted authority in infrared and Raman spectroscopy, she holds one patent and has authored or co-authored more than 80 publications and nine books. Her areas of expertise include industrial problem solving through vibrational spectroscopy, computerized spectroscopy, process analysis and control, combined instrumental techniques, and environmental spectroscopy. From 1989 to 1995, she served as editor of the international journal Vibrational Spectroscopy. She is a member of Phi Beta Kappa and a Fellow of the American Association for the Advancement of Science.

Her professional leadership has extended well beyond the laboratory. Brown has served on the boards of six Fortune 500 corporations, chaired the U.S. National Committee for the International Union of Pure and Applied Chemistry, served as national president of the Society for Applied Spectroscopy, and chaired the Analytical Division of the American Chemical Society. She also served on a White House joint advisory panel evaluating U.S.-Japan science and technology cooperation.

Brown has been deeply involved in Cleveland’s scientific, educational, cultural, and philanthropic institutions. Her civic service has included leadership roles with the Cleveland Hungarian Development Panel, Cleveland Orchestra, Great Lakes Science Center, Cleveland Clinic Foundation, Holden Arboretum, ideastream, Cleveland Scholarship Programs, Northeastern Ohio Science and Engineering Fair, and other organizations. She co-chaired the 2003 Intel International Science and Engineering Fair when it was held in Cleveland.

Her many honors include the American Chemical Society’s Garvan Medal for outstanding achievement by a woman chemist, induction as the first woman in the Ohio Science and Technology Hall of Fame, and membership in the Ohio Women’s Hall of Fame. She has received numerous honorary degrees and distinctions, including the Ellis Island Medal of Honor in 2002 for her work with Cleveland’s Hungarian community, the Great American Award from the Stan Hywet Foundation, and Cleveland State University’s In Tribute to Public Service Award in 2006.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
dr-dieu-thuc-do-2010,,,,,"Dr. Dieu Thuc Do was born in Rach Gia, Vietnam, the oldest of five children. His father served as Deputy Chief of Rach Gia, while his mother was a homemaker. He graduated from Saigon Medical School in 1965 and later served in the Army of the Republic of Vietnam (ARVN) as a physician and major. From 1973 to 1975, he was elected chairman of the Rach Gia City Council.

Following the fall of South Vietnam in 1975, Dr. Do immigrated to the United States. After completing the required equivalency examinations and residency training, he was able to resume practicing medicine. He married Thuy Do and settled in Cleveland, Ohio, where they raised three children: Francis, Stephanie, and Jennifer.

Beginning in 1980, Dr. Do practiced medicine in Cleveland and became a respected physician within the community. Known for his empathy and attention to patients’ personal values, cultural backgrounds, and autonomy, he developed relationships that often extended beyond the clinical setting. Many patients regarded him not only as a healthcare provider but also as a trusted member of their families and communities.

At the same time, Dr. Do continued his military service in the United States Army Reserve. In 1991, he served during Operation Desert Storm in Iraq and later retired with the rank of major. He has remained active in local commemorations honoring American and Vietnamese veterans, particularly on Veterans Day and April 30, the anniversary of the fall of Saigon.

Dr. Do’s civic work has been especially important within Cleveland’s Vietnamese and Asian-American communities. He co-founded the Asian Pacific American Federation in Cleveland, served on the Cleveland Mayor’s Advisory Committee from 1983 to 1993, and was president of the Vietnamese Community in Greater Cleveland from 1980 to 1988. During those years, he also acted as a liaison between local government and newly arrived Vietnamese immigrants, helping families navigate life in the United States.

A practicing Catholic, Dr. Do has also been active with the Diocese of Cleveland, the Vietnamese Catholic Community at St. Boniface, and the Diocese’s Asian Ministry. He served on the Board of Trustees of Cleveland Catholic Charities and participated in diocesan vocational efforts.

Dr. Do and his family have long worked to preserve Vietnamese culture while building connections across Cleveland’s diverse communities. They have participated in cultural and civic programs throughout Northeast Ohio, including the Lorain International Festival and the Diocese of Cleveland’s Church in the City initiative. As members of Cleveland’s first generation of Vietnamese immigrants, they have viewed cultural exchange as a way to strengthen the wider community.

Throughout his life, Dr. Do has combined medicine, military service, civic leadership, faith, and cultural advocacy. His career reflects both the experience of rebuilding a life after immigration and a sustained commitment to serving Cleveland’s Vietnamese community and the city as a whole.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
robert-j-haas-2010,,,,,"Robert “Bob” Haas was born and raised on Cleveland’s West Side. He graduated from St. Edward High School, attended John Carroll University, and later completed training at the Ohio Highway Patrol Police Academy. Haas spent 35 years in public service with the City of Berea Police Department, beginning as a patrol officer, then serving as a detective, and later as the department’s Community Relations Officer until his retirement in 2010.

During his police career, Haas became deeply involved in community safety and neighborhood programs. He founded Berea’s Block Watch program and played an important role in establishing the city’s Safety Town initiative. His work reflected a broader interest in strengthening community ties and creating opportunities for residents to connect with one another.

Haas’s German heritage also became a major part of his civic life. His grandparents immigrated from Germany, and his parents raised him with a strong appreciation for German customs, food, music, and traditions. Some of his fondest childhood memories include family visits to Kiefer’s Restaurant on Detroit Avenue and West 25th Street, as well as holiday celebrations centered on German traditions.

While working as a police officer, Haas became familiar with the Oktoberfest events held at the Cuyahoga County Fairgrounds. After the festival left Berea and eventually faded, he became determined to bring the tradition back. In 2005, with help from volunteers from the Berea Kiwanis, Berea Rotary, and the Donauschwaben community, Haas revived the event as the Cleveland Oktoberfest.

Under his leadership as founder and executive director, the Cleveland Oktoberfest grew into one of the region’s major cultural festivals, celebrating German heritage through music, dance, food, and community traditions. Haas also served on the board of the Cuyahoga County Fairgrounds, helping strengthen the event’s long-term connection to its Berea location.

Recognizing that many other ethnic festivals in Greater Cleveland were struggling with financial pressures and declining attendance, Haas expanded the Oktoberfest’s mission beyond German culture. He founded the William F. Miller International Pavilion, creating a venue where cultural groups from throughout the region could present traditional music, dance, and customs. The pavilion has featured performers representing more than 20 different ethnic communities.

For Haas, the festival became a way to celebrate both cultural distinction and shared experience. He has often emphasized that while communities may differ in language, food, dress, and geography, they are connected by common traditions of celebration, family, music, dance, and friendship.

Through his career in public safety and his leadership of the Cleveland Oktoberfest, Bob Haas has spent decades bringing people together across neighborhoods and cultural communities. His work reflects a sustained commitment to public service, German-American heritage, and Cleveland’s broader multicultural identity.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
helen-karpinski-1899-2002-2010,,,,,"Helen Karpinski (1899–2002) was born in Cleveland and raised in Reynoldsville, Pennsylvania, in a large Polish-American family. After leaving school following the eighth grade to work in the silk mills, she returned to Cleveland as a teenager in search of work, with her family eventually following.

She married Johnny Karpinski, a noted amateur boxer and Democratic political organizer in Cleveland’s Polish community. After his death, Helen succeeded him as a precinct committeeperson and built a long political career of her own. She served as a ward leader for 15 years, sat on both county and state Democratic executive committees, and was a delegate or alternate to numerous Democratic National Conventions beginning in 1932. From 1980 to 1984, she served on the Democratic National Committee and its Ethnic Committee.

In 1939, Karpinski became the first woman under Cleveland’s current charter to survive a primary election for City Council. Although she lost the general election, her candidacy became an important milestone for women in Cleveland politics. She continued to encourage and support women candidates throughout her life. As president of the Federated Democratic Women of Ohio, she helped recruit Gertrude Donahey for state treasurer and later chaired Donahey’s successful 1970 campaign, which made Donahey the first woman elected to statewide administrative office in Ohio.

Karpinski was equally committed to Cleveland’s Polish-American community. She served as president of the American Polish Women’s Club, held leadership roles in the Polish Women’s Alliance of America, and participated in the Alliance of Poles and the Polish Congress–Ohio Division. She also helped organize the Ladies Auxiliary of the Polish Legion of American Veterans and founded the Ave Maria Senior Citizens Club at St. Casimir Church.

For more than four decades, Karpinski was active in the Cleveland Cultural Gardens Federation. She helped establish and represent the Polish Cultural Garden, led the effort to install a bust of Marie Curie there, and served for many years as Federation treasurer and later as vice president. Her work in the Gardens deepened her commitment to cooperation and mutual understanding among Cleveland’s ethnic communities.

That goal also shaped her broader civic work. Karpinski helped found the Women’s Cosmopolitan Democratic League and served as its president in 1952. Over the course of her life, she received numerous honors for political leadership, community service, and advocacy for women and ethnic communities, including recognition from the Ohio Democratic Party, Polonia Foundation of Ohio, Baptist Ministers Association, and WomenSpace.

By the time of her 100th birthday, Karpinski was widely recognized as a pioneering figure whose influence crossed generations, gender, and ethnicity. Her legacy lies in the intersection of women’s political advancement, Polish-American civic life, and Cleveland’s multicultural institutions.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
alex-machaskee-2010,,,,,"Alex Machaskee is the retired Publisher, President, and Chief Executive Officer of The Plain Dealer, where he was responsible for the overall policy, operation, and direction of Ohio’s largest newspaper. He joined the paper in 1960 and held a series of leadership positions, including Promotion Director, Assistant to the Publisher, Director of Labor Relations and Personnel, and Vice President and General Manager, before being named Publisher in 1990. He retired in 2006 after more than four decades with the newspaper.

Born in Warren, Ohio, Machaskee began his journalism career as a sports and general assignment reporter for the Warren Tribune. He later earned a bachelor’s degree in marketing from Cleveland State University. CSU awarded him an honorary Doctor of Humane Letters in 1995, followed by honorary degrees from the University of Akron and Heidelberg College.

Beyond journalism, Machaskee became one of Greater Cleveland’s most active civic and international leaders. He served in leadership roles with the Cleveland Orchestra, Cleveland Museum of Art, Cleveland Council on World Affairs, United Way Services, University Circle Inc., Crime Stoppers of Cuyahoga County, and numerous cultural and educational organizations. He chaired the United Way campaign and later became a Lifetime Director of the organization.

Machaskee has also played a prominent role in international and humanitarian affairs. As Chairman of International Orthodox Christian Charities, he traveled extensively to oversee relief efforts in Europe, the Middle East, and Africa. He has served as Honorary Consul of the Republic of Serbia and as a member of the Cleveland Foreign Consular Corps, reflecting his long involvement in international relations and Cleveland’s ethnic communities.

His career has been recognized with numerous honors, including the Whitney M. Young Humanitarian Award from the Urban League of Cleveland, the International Executive of the Year Award from World Trade Center Cleveland, the Golden Door Award from the International Services Center, and the Ellis Island Medal of Honor. He was inducted into the Northeast Ohio Business Hall of Fame in 2001 and the Cleveland Journalism Hall of Fame in 2006.

After retiring from The Plain Dealer, Machaskee continued his work through Alex Machaskee and Associates, LLC, focusing on media relations, strategic planning, international relations, marketing, and event promotion. A musician and supporter of the performing arts, he has remained closely connected to Cleveland’s cultural life throughout his career.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
lonnie-mccauley-2010,,,,,"Lonnie Davis McCauley was born in Cleveland on September 19, 1947. She attended Lourdes Academy, earned a B.A. in Sociology from Cleveland State University, and later received a Master’s Degree in Library Science from Kent State University in 1999. As part of her graduate studies, she interned at Trinity College in Dublin, Ireland, fulfilling a lifelong dream, and published her thesis, The Irish Directory of Greater Cleveland.

McCauley devoted much of her life to preserving and promoting Irish culture and history in Cleveland. Her involvement in the Irish-American community began in 1981, when she became Public Relations Secretary for the Irish-American Club, East Side. In 1985, she helped found the Padraic Pearse Center and served as its first president, a position she held for seven terms. Under her leadership, the center established Cleveland’s first Irish-American library. She later helped found a second Irish-American library at the West Side Irish-American Club.

At the East Side Club, McCauley created Voices of Ireland, a program of Irish poetry, music, song, dance, recitation, and drama that was presented for seven years. She also helped introduce Irish-language instruction, adult Irish dance, bodhrán lessons, and visiting Irish speakers to the club. Her commitment was deeply personal as well as organizational: she wrote and recited poetry, studied Irish dance, competed with the Irish Adult Dancers, and participated in the Cleveland Feis with her daughter Caitlin. She also served on the founding board of the Irish Music Academy of Cleveland.

McCauley brought the same dedication to documenting Cleveland’s Irish-American history. She became the first Irish-American Archivist at the Western Reserve Historical Society and was a longtime member of the Irish-American Archives Society. She also served on the Irish Famine Memorial Committee and, in September 2000, presided over the dedication of an 11-ton Celtic cross in the Flats honoring those who died or were forced to emigrate during the Great Famine.

One of McCauley’s most significant public honors came in 2001, when she was selected as Grand Marshal of Cleveland’s St. Patrick’s Day Parade, becoming the first woman to hold that role in the parade’s 134-year history.

McCauley saw the preservation of Irish-American memory as a responsibility to future generations. She once said that without active efforts to preserve that history, those who came before would become “historical ghosts.” Through her archival work, cultural programming, community organizing, and scholarship, she helped ensure that Cleveland’s Irish-American traditions would remain visible and accessible.

Lonnie Davis McCauley died on March 18, 2001. Her legacy endures in the institutions, archives, cultural programs, and community traditions she helped build and sustain.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
irene-morrow-2010,,,,,"Irene Morrow built a distinguished career in public service while becoming a prominent leader in Cleveland’s Polish-American and broader nationality communities. She and her husband, Edward, raised six children and later welcomed six grandchildren.

Morrow spent 25 years in public service. She served eight years as Deputy Auditor for Cuyahoga County, where she oversaw county payroll operations and helped modernize record keeping through computerization. She then spent 17 years with the City of Cleveland as Personnel Administrator and Secretary of the Civil Service Commission. In that role, she helped administer testing for a municipal workforce of approximately 10,000 employees across more than 800 job classifications and assisted in introducing computerized systems for test administration and grading.

Although she retired from city government in 1989, Morrow remained professionally active. She began a second career in food management and service, working with golf courses, country clubs, and yacht clubs, and later served as an assistant to the president of Elite Realty.

Her civic and cultural work became an equally important part of her public life. In 1975, she was elected Executive Secretary of the Association of Polish Women. She also became active in local political organizations and was recognized by First Lady Barbara Bush as one of 40 outstanding women achievers in Ohio. In 1985, the Polonia Foundation named her Polish Person of the Year.

Morrow is especially associated with the American Nationalities Movement, a Cleveland-based organization created to promote awareness of nations and peoples living under political oppression. She served as its Executive Secretary and Treasurer from 1975 to 1999 and later became its president. Through the organization, she played a major role in Cleveland’s annual observance of Captive Nations Week, an initiative first proclaimed nationally by President Dwight D. Eisenhower in 1959.

Under Morrow’s leadership, the American Nationalities Movement brought together representatives from dozens of ethnic and nationality groups and helped keep attention focused on communities affected by communism, authoritarian rule, and political domination. Although deeply rooted in her own Polish heritage, Morrow became known for supporting the concerns of many different ethnic communities in Cleveland.

Her work was recognized not only by Polish-American organizations, but also by groups including the United Hungarian Societies and the Vietnamese community. Across decades of public service and civic leadership, Irene Morrow became known for connecting Cleveland’s diverse nationality communities and advocating for cultural memory, freedom, and mutual understanding.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
august-pust-2010,,,,,"August B. Pust was born in Ljubljana, Slovenia, in 1938 and came to the United States in 1957 as a student and visitor. He became a U.S. citizen in 1970. Over the course of more than three decades in public service, Pust built a distinguished career in multicultural affairs, international relations, citizen diplomacy, and the preservation of immigrant heritage.

Before entering government service, Pust worked professionally as an artist, graphic designer, manager, and art director. He later became deeply involved in Cleveland’s ethnic and international communities, serving as Executive Assistant for Ethnic Affairs and International Relations to Cleveland Mayors George Voinovich and Michael White. In recognition of his service, he was named an Honorary Mayor of Cleveland and received a Key to the City.

From 1991 to 2002, Pust served as Director of Multicultural Affairs and International Relations in the Office of the Governor of Ohio. In that role, he coordinated relationships among municipal, regional, state, and international officials and helped develop trade, humanitarian, educational, cultural, and goodwill missions abroad. His work emphasized citizen diplomacy, professional exchanges, university partnerships, and programs designed to strengthen civil society and democratic institutions.

Pust became a leading advocate for people-to-people diplomacy, particularly through programs connecting young professionals, universities, civic leaders, and international organizations. His efforts contributed to the development of models of American citizen diplomacy that promoted greater understanding across cultures and national borders. In 2002, the National Council for International Visitors recognized him as a “Citizen Diplomat.”

His public service also extended to the federal level. Appointed by President George W. Bush, Pust served from 2001 to 2006 on the U.S. Commission for the Preservation of America’s Heritage Abroad. He also testified before the U.S. Congress on international relations and served on numerous boards and organizations concerned with international exchange, immigrant history, and multicultural affairs.

Pust played an important role in Cleveland’s civic and cultural institutions. He was a founding member of the Greater Cleveland Ethnographic Museum and served as its first chairman. He also helped support the effort to bring the 2004 International Children’s Games to Cleveland, an event that attracted thousands of young athletes from dozens of countries and involved extensive participation from the region’s multicultural communities.

Deeply committed to his Slovenian heritage, Pust has been active in numerous Slovenian-American organizations. He was a founding member and board participant in the Slovenian American Heritage Foundation, Slovenian American National Art Guild, and Slovenian Museum and Archives. As an artist and designer, he also created postcards and postage-stamp designs celebrating Slovenian traditions and culture.

Pust’s contributions have been recognized with numerous honors, including the Ellis Island Medal of Honor, the Ohio Distinguished Service Medal, the American Nationalities Movement Freedom Medal, the “Living the Legacy” award honoring the ideals of Dr. Martin Luther King Jr., and the Honorary Order of the Freedom Medal from the President of Slovenia. In 1999, he received an honorary doctorate from Valachia University in Romania.

Throughout his career, August Pust has worked to strengthen relationships among Cleveland’s ethnic communities, public institutions, and international partners. His legacy reflects a sustained commitment to multicultural understanding, citizen diplomacy, immigrant history, and the idea that international cooperation can be built through direct relationships between people and communities.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
paul-sciria-2010,,,,,"Paul Angelo Sciria was born on November 3, 1928, to Sicilian immigrants Angelo and Felicia Sciria at the family home near East 151st Street and Kinsman Avenue in Cleveland. Raised in the Kinsman neighborhood, he attended A.J. Rickoff Elementary School, Alexander Hamilton Junior High School, and John Adams High School before continuing his education at The Ohio State University, where he participated in ROTC. He later attended Marshall School of Law.

While studying law, Sciria worked at Cleveland City Hall and developed an interest in journalism and police reporting. Over the years, writing became an increasingly important part of his life and eventually placed him at the center of Northeast Ohio’s Italian-American media and cultural community.

In 1992, Sciria acquired La Gazzetta Italiana, becoming the publication’s principal writer and editor as well as handling advertising and subscriptions. Under his leadership, the newspaper became an important voice for Italian Americans throughout Greater Cleveland, documenting community events, organizations, traditions, personalities, and accomplishments while promoting greater awareness of Italian and Italian-American history.

Sciria’s commitment to his heritage extended beyond publishing. He participated in and helped coordinate Cleveland’s Columbus Day Parade in Little Italy and supported the work of the Northern Ohio Italian American Foundation and other organizations dedicated to preserving and promoting Italian-American culture.

Proud of both his American identity and his Sicilian heritage, Sciria frequently emphasized the contributions Italians and Italian Americans have made to art, music, literature, industry, science, banking, public service, and American civic life. He was particularly concerned that popular culture often reduced Italian Americans to stereotypes while overlooking the achievements of figures such as Medal of Honor recipient John Basilone and banking pioneer A.P. Giannini.

Through La Gazzetta Italiana, Sciria dedicated decades to ensuring that the stories and accomplishments of Cleveland’s Italian-American community were recorded and shared. His work as a journalist, editor, cultural advocate, and community participant helped preserve the history of Italian Americans in Northeast Ohio while encouraging future generations to take pride in their heritage.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
paramjit-singh-2010,,,,,"Paramjit Singh became a prominent leader in Cleveland’s Asian Indian community soon after arriving in the city in June 1962. A Sikh committed to service, he has spent decades building organizations, promoting Indian culture, and strengthening ties between Cleveland’s immigrant communities and the wider civic community.

Singh earned a degree in Mechanical Engineering from the Indian Institute of Technology Kharagpur in 1958 and entered the MBA program at Case Western Reserve University in 1962. He quickly became active in the university’s International Student Group and was soon elected its chairman. That experience brought him into contact with students from around the world and deepened his commitment to intercultural understanding.

As one of Cleveland’s early Indian community leaders, Singh helped introduce local audiences to Indian culture, food, religion, and traditions, including Sikhism. The Cleveland Council on World Affairs invited him to organize an Indian dinner celebrating the 13th Republic Day of India, bringing together students, community members, and international visitors. In 1964, he joined other local leaders in establishing the India Association of Cleveland.

Singh also made a visible statement about cultural identity in 1965 when he became the first turbaned Sikh to participate in a Case Western Reserve University graduation ceremony while wearing his turban rather than the traditional mortarboard.

As immigration reform contributed to the growth of Indian-American communities across the United States, Singh became increasingly involved in regional and national organizations. The National Federation of Indian-American Associations was established in 1980, followed in 1981 by the Federation of India Community Associations of Northeast Ohio, known as FICA. Singh went on to serve as president of FICA and as vice president of NFIA.

Together with his wife, Linda, Singh also helped develop Project SEVA, based on the idea that Indian Americans should give back to the communities that had welcomed them. Working with FICA, Ohio State Senator Michael White, and Rev. Earl Preston Jr. of Morning Star Baptist Church, the initiative organized a Thanksgiving dinner serving approximately 400 people. Singh later brought the idea to NFIA, which adopted Project SEVA as a national service program.

His civic involvement extended across business, engineering, government, and community affairs. Singh served as president of the Cleveland chapter of the American Society of Engineers of Indian Origin, was a founding member of the Asian-Indian-American Business Group and Asian-Indian-Americans for Better Government, and served as an executive member of Cleveland Mayor George Voinovich’s Asian Advisory Council.

Through decades of volunteer service, Paramjit Singh helped shape the institutional foundations of Cleveland’s Indian-American community while promoting cultural understanding, civic participation, and service to others. His work helped connect local Indian organizations with the broader civic life of Cleveland and Northeast Ohio.",,biographies-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
