id,name,class_year,source_profile_url,approve_summary,approved_summary,documented_context_line,honored_for_summary,life_work_summary,approve_country_tags,approved_country_tags,country_note,curator_notes
alex-machaskee-2010,Alex Machaskee,2010,https://clevelandinternationalhalloffame.com/alex-machaskee-2010/,yes,"Alex Machaskee is the retired Publisher, President and Chief Executive Officer of The Plain Dealer, Ohio’s largest newspaper. In that capacity, he was responsible for the overall policy, operation and direction of the newspaper.",Class of 2010 honoree connected to Serbian. Inducted by Dick Russ.,"Contributions to arts and culture, diplomacy and global affairs, and media and storytelling within Serbian heritage communities and to Greater Cleveland's multicultural civic life.","Alex Machaskee is the retired Publisher, President and Chief Executive Officer of The Plain Dealer, Ohio’s largest newspaper. In that capacity, he was responsible for the overall policy, operation and direction of the newspaper. Mr. Machaskee joined The Plain Dealer in 1960. Before being named Publisher in 1990, he had served five years as Vice President and General Manager. Previously, he served as Director of Labor Relations and Personnel, Assistant to the Publisher and Promotion Director.",yes,Serbian,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/alex-machaskee-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
august-pust-2010,August Pust,2010,https://clevelandinternationalhalloffame.com/august-pust-2010/,yes,"August B. Pust, during his more than thirty-year career in U.S. public service, not only coordinated multicultural relations, but also participated, organized, and led various trade, humanitarian, educational, cultural, and goodwill missions abroad. His specialty was focused on the development of programs and initiatives in the non-governmental sector...",Class of 2010 honoree connected to Slovenian. Inducted by Jure Žmauc Consul General of Slovenia.,"Contributions to arts and culture, civic leadership, and diplomacy and global affairs within Slovenian heritage communities and to Greater Cleveland's multicultural civic life.","August B. Pust, during his more than thirty-year career in U.S. public service, not only coordinated multicultural relations, but also participated, organized, and led various trade, humanitarian, educational, cultural, and goodwill missions abroad. His specialty was focused on the development of programs and initiatives in the non-governmental sector to foster civil societies, democratic systems, especially on training and exchange programs for young professionals. His efforts led to better global understanding and development of friendly people-to-people relationships, especially among international universities. As a governmental employee he coordinated global partnerships among municipal, regional, and state officials. He was a major part in the development of a new concept of American Citizens Diplomacy to the highest level, which became an example...",yes,Slovenian,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/august-pust-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,2010,https://clevelandinternationalhalloffame.com/dr-dieu-thuc-do-2010/,yes,"Dr. Dieu Thuc Do was born in Rach Gia, Viet Nam. He is the oldest of 5 children.",Class of 2010 honoree connected to Vietnamese. Inducted by Lt. Colonel Joe Meisner.,"Contributions to medicine and health, civic leadership, and public safety and military within Vietnamese heritage communities and to Greater Cleveland's multicultural civic life.","Dr. Dieu Thuc Do was born in Rach Gia, Viet Nam. He is the oldest of 5 children. His father was the Deputy Chief of Rach Gia and his mother was a homemaker. He graduated from Sai Gon Medical school in 1965 and served in the army (ARVN) as a major and physician. From 1973 to 1975, Dr. Do was elected as the chairman of Rach Gia City Council.",yes,Vietnamese,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/dr-dieu-thuc-do-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
helen-karpinski-1899-2002-2010,Helen Karpinski (1899 – 2002),2010,https://clevelandinternationalhalloffame.com/helen-karpinski-2010/,yes,"Helen Karpinski (1899 – 2002) Born in Cleveland in 1899, Helen Karpinski was raised in Reynoldsville, Pa. in a family of originally 13 children. Her father was a coal miner; her mother, Anna Olszewski, was the daughter of an inn keeper.",Class of 2010 honoree connected to Polish. Inducted by John Borkowski.,"Contributions to business and entrepreneurship, arts and culture, and civic leadership within Polish heritage communities and to Greater Cleveland's multicultural civic life.","Helen Karpinski (1899 – 2002) Born in Cleveland in 1899, Helen Karpinski was raised in Reynoldsville, Pa. in a family of originally 13 children. Her father was a coal miner; her mother, Anna Olszewski, was the daughter of an inn keeper. After the eighth grade, Helen had to leave school to work in the silk mills. When the mills closed, she and her sister, both in their early teens, returned to Cleveland for work. She married Johnny Karpinski, who was the first Ohioan to win an international boxing match: he was the amateur welter-weight champion of the world–a title he won in Denmark in 1916.",yes,Polish,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/helen-karpinski-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
irene-morrow-2010,Irene Morrow,2010,https://clevelandinternationalhalloffame.com/irene-morrow-2010/,yes,"Irene Morrow is married to Edward and has six children (Jeffrey, Patrick (deceased), Martin, Roberta, Lorraine and Christine) and six grandchildren (Matthew, Ryan, Nathan, Michaela, Aaron and Justin) Irene has an impressive resume of twenty-five years of public service. She served as Deputy Auditor in charge of Cuyahoga...",Class of 2010 honoree connected to Polish. Inducted by Valerie Schwonek.,Contributions to civic leadership and community organizing within Polish heritage communities and to Greater Cleveland's multicultural civic life.,"Irene Morrow is married to Edward and has six children (Jeffrey, Patrick (deceased), Martin, Roberta, Lorraine and Christine) and six grandchildren (Matthew, Ryan, Nathan, Michaela, Aaron and Justin) Irene has an impressive resume of twenty-five years of public service. She served as Deputy Auditor in charge of Cuyahoga County payrolls for 8 years and was instrumental in computerizing the entire record keeping system. For seventeen years she served as the Personnel Administrator and Secretary of the Civil Service Commission for the City of Cleveland. As Secretary of the Civil Service Commission, her duties included testing a job force of some 10,000 individuals with over 800 separate job classifications. Once again, she helped in the computerization of systems to...",yes,Polish,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/irene-morrow-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
jeanette-grasselli-brown-2010,Jeanette Grasselli Brown,2010,https://clevelandinternationalhalloffame.com/jeanette-grasselli-brown-2010/,yes,"Jeanette Grasselli Brown spent 38 years in industrial research, retiring in 1989 as Director of Corporate Research for BP America (formerly The Standard Oil Co.), From 1989 to 1995 she served as Distinguished Visiting Professor and Director, Research Enhancement at Ohio University, Athens, Ohio. In 1995 she was...",Class of 2010 honoree connected to Hungarian. Inducted by Edith Lauer.,"Contributions to education, science and technology, and civic leadership within Hungarian heritage communities and to Greater Cleveland's multicultural civic life.","Jeanette Grasselli Brown spent 38 years in industrial research, retiring in 1989 as Director of Corporate Research for BP America (formerly The Standard Oil Co.), From 1989 to 1995 she served as Distinguished Visiting Professor and Director, Research Enhancement at Ohio University, Athens, Ohio. In 1995 she was appointed by Governor Voinovich to the Ohio Board of Regents, the coordinating body for all higher education in the State of Ohio. She was reappointed by Governor Taft in 1999 and she is a past Chair of the Board. She was Vice Chair of the Governor’s Commission on Teacher Success in 2002. Jeanette Grasselli Brown received her B.S. degree from Ohio University and her M.S. in Chemistry from Case Western...",yes,Hungarian,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/jeanette-grasselli-brown-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
leo-weidenthal-2010,Leo Weidenthal,2010,https://clevelandinternationalhalloffame.com/leo-weidenthal-2010/,yes,"Leo Weidenthal (1878-1967) was editor of the Jewish Independent and founder of the Cleveland Cultural Garden Federation. Born in Cleveland to Emanuel and Julia (Kretch) Weidenthal, he began his newspaper career as a reporter for the Cleveland World; then for the Cleveland Leader and in 1906, for the...",Class of 2010 honoree connected to Jewish. Inducted by Paul Burik.,Contributions to business and entrepreneurship and civic leadership within Jewish heritage communities and to Greater Cleveland's multicultural civic life.,"Leo Weidenthal (1878-1967) was editor of the Jewish Independent and founder of the Cleveland Cultural Garden Federation. Born in Cleveland to Emanuel and Julia (Kretch) Weidenthal, he began his newspaper career as a reporter for the Cleveland World; then for the Cleveland Leader and in 1906, for the Plain Dealer on the city hall beat. In 1917 he became editor of the Jewish Independent, a weekly founded in 1906 by his brother Maurice. Leo Weidenthal guided the Jewish Independent for 47 years. His retirement in 1964 served as the catalyst for a reorganization of Cleveland’s Jewish press by a civic group incorporated as the Cleveland Jewish Publication Company.",yes,Jewish,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/leo-weidenthal-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
lonnie-mccauley-2010,Lonnie McCauley,2010,https://clevelandinternationalhalloffame.com/lonnie-mccauley-2010/,yes,"Lonnie Davis McCauley was born in Cleveland on September 19th, 1947. She attended high school at Lourdes Academy, received a B.A. in sociology from Cleveland State University, and a Master’s Degree in Library Science from Kent State University in 1999.",Class of 2010 honoree connected to Irish. Inducted by Pat Dowd.,Contributions to arts and culture and education within Irish heritage communities and to Greater Cleveland's multicultural civic life.,"Lonnie Davis McCauley was born in Cleveland on September 19th, 1947. She attended high school at Lourdes Academy, received a B.A. in sociology from Cleveland State University, and a Master’s Degree in Library Science from Kent State University in 1999. As part of her master’s program, Lonnie interned at the prestigious Trinity College in Dublin, Ireland, achieving a lifelong dream, and also published her thesis, “The Irish Directory of Greater Cleveland”. Lonnie had a long and active history promoting Irish Culture and History with the Irish community in Cleveland dating.",yes,Irish,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/lonnie-mccauley-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
margaret-w-wong-2010,Margaret W. Wong,2010,https://clevelandinternationalhalloffame.com/margaret-w-wong-2010/,yes,"Margaret W. Wong In more than 30 years of practice, Margaret Wong built Margaret W. Wong & Associates Co., L.P.A. into a law firm nationally and internationally renowned for its knowledge and expertise in immigration and nationality law. Ms. Wong is licensed to practice in Ohio, Michigan, New...",Class of 2010 honoree connected to Chinese. Inducted by Rose Wong.,"Contributions to law and justice, education, and immigrant advocacy within Chinese heritage communities and to Greater Cleveland's multicultural civic life.","Margaret W. Wong In more than 30 years of practice, Margaret Wong built Margaret W. Wong & Associates Co., L.P.A. into a law firm nationally and internationally renowned for its knowledge and expertise in immigration and nationality law. Ms. Wong is licensed to practice in Ohio, Michigan, New York, Georgia, the District of Columbia, U.S. District Court for the Northern District of Ohio, U.S. District Court for the Southern District of New York, U.S. District Court for the Eastern District of New York, U.S. Court of Appeals for the 6th Circuit, and the U.S. Supreme Court. Her firm handles more than 4,000 immigration matters each year, with offices in Cleveland, Columbus, Atlanta and New York. Among other honors...",yes,Chinese,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/margaret-w-wong-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
paramjit-singh-2010,Paramjit Singh,2010,https://clevelandinternationalhalloffame.com/paramjit-singh-2010/,yes,"Paramjit Singh has been a Community Leader of the Asian Indian Community since he landed in Cleveland in June of 1962. Being a Sikh, he has dedicated his life to serving the needy.","Class of 2010 honoree connected to Indian, Sikh. Inducted by Mona Alag.","Contributions to civic leadership, diplomacy and global affairs, and faith and service within Indian and Sikh heritage communities and to Greater Cleveland's multicultural civic life.","Paramjit Singh has been a Community Leader of the Asian Indian Community since he landed in Cleveland in June of 1962. Being a Sikh, he has dedicated his life to serving the needy. Paramjit Singh completed his Mechanical Engineering from the Indian Institute of Technology (I.I.T.) Kharagpur, India, in 1958 and joined the MBA program at Case Western Reserve University in September 1962. He got involved with the International Student Group and shortly thereafter became its Chairman. This gave Paramjit the opportunity to meet students from all over the world and make him a citizen of this world.",yes,Indian|Sikh,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/paramjit-singh-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
