recordedName,band,inductedCount,inducted,candidateInducteeId,candidateName,candidateBasis,candidateVerificationLayer,candidateEvidence,proposedCount,proposedLabels,currentStatus,decision,inducteeId,decisionReference,note
Alex Machaskee,,,,,,,,,,,,inductee,alex-machaskee-2010,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Margaret Wong,,,,,,,,,,,,inductee,margaret-w-wong-2010,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Dick Russ,,,,,,,,,,,,inductee,dick-russ-2015,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Pierre Bejjani,,,,,,,,,,,,inductee,pierre-bejjani-2023,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Aklilu Demessie,,,,,,,,,,,,inductee,aklilu-demessie-2026,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Albert Ratner,,,,,,,,,,,,inductee,albert-b-ratner-2011,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Andrew Fedynsky,,,,,,,,,,,,inductee,andy-fedynsky-2026,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
August Pust,,,,,,,,,,,,inductee,august-pust-2010,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Basil Russo,,,,,,,,,,,,inductee,basil-russo-2017,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Dick Pogue,,,,,,,,,,,,inductee,dick-pogue-2015,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Dr. Wael Khoury,,,,,,,,,,,,inductee,wael-khoury-2017,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Ernie Mihaly,,,,,,,,,,,,inductee,ernie-mihaly-2014,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Ingrida Bublys,,,,,,,,,,,,inductee,ingrida-bublys-2019,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Jack Kahl,,,,,,,,,,,,inductee,jack-kahl-2016,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Jose Feliciano,,,,,,,,,,,,inductee,jose-c-feliciano-2012,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
José Feliciano,,,,,,,,,,,,inductee,jose-c-feliciano-2012,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Ken Kovach,,,,,,,,,,,,inductee,ken-kovach-2012,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Maria Pujana,,,,,,,,,,,,inductee,dr-maria-pujana-2013,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Mary Rose Oakar,,,,,,,,,,,,inductee,hon-mary-rose-oakar-2012,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Mona Alag,,,,,,,,,,,,inductee,mona-alag-2017,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Pat Dowd,,,,,,,,,,,,inductee,pat-dowd-2023,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Peter de la Porte,,,,,,,,,,,,inductee,ingrida-bublys-2019,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Ramesh Shah,,,,,,,,,,,,inductee,ramesh-shah-2020,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Richard Fleischman,,,,,,,,,,,,inductee,richard-fleischman-2019,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
Valarie McCall,,,,,,,,,,,,inductee,valarie-mccall-2020,links-review-2026-09-22,Reference corrected: the original cur-2026-061 pointed at no record.
