recordedName,decision,inducteeId,decisionReference,note
Sam Miller,inductee,samuel-h-miller-2013,names-review-2026-09-23,Exact name match; recorded 2026-09-23.
Gerry Quinn,not-an-inductee,,names-review-2026-09-23,
Blaine Griffin,not-an-inductee,,names-review-2026-09-23,
Joe Cimperman,not-an-inductee,,names-review-2026-09-23,
Mike Polensek,not-an-inductee,,names-review-2026-09-23,
Paul Burik,inductee,paul-burik-2019,names-review-2026-09-23,Exact name match; recorded 2026-09-23.
Sudarshan Sathe,inductee,sudarshan-sathe-2023,names-review-2026-09-23,Exact name match; recorded 2026-09-23.
Aidan Cronin Consul General of Ireland,not-an-inductee,,names-review-2026-09-23,
Amb Byrne Nason,not-an-inductee,,names-review-2026-09-23,
Amb Kristjan Prikk,not-an-inductee,,names-review-2026-09-23,
Andres Gonzalez,not-an-inductee,,names-review-2026-09-23,
Angie Spitalieri,not-an-inductee,,names-review-2026-09-23,
Anthony Brancatelli,not-an-inductee,,names-review-2026-09-23,
Armond Budish,not-an-inductee,,names-review-2026-09-23,
Baiju Shah,not-an-inductee,,names-review-2026-09-23,
BenStefanski,not-an-inductee,,names-review-2026-09-23,
Chris Ronayne,not-an-inductee,,names-review-2026-09-23,
Congressman Louis Stokes,not-an-inductee,,names-review-2026-09-23,
Councilman Joe Cimperman,not-an-inductee,,names-review-2026-09-23,
Dagmar Celeste,not-an-inductee,,names-review-2026-09-23,
Dan Coughlin,not-an-inductee,,names-review-2026-09-23,
Dr. Alex Johnson,not-an-inductee,,names-review-2026-09-23,
Dr. Andrew P. Roth,not-an-inductee,,names-review-2026-09-23,
Dr. Anton Komar,not-an-inductee,,names-review-2026-09-23,
Dr. Joe Wendel,not-an-inductee,,names-review-2026-09-23,
"Dr. Menna Demessie, Ph.D.",not-an-inductee,,names-review-2026-09-23,
Dr. Nizar Zein,not-an-inductee,,names-review-2026-09-23,
Edith Lauer,not-an-inductee,,names-review-2026-09-23,
Former Mayor Frank G. Jackson; remarks by Valarie McCall and Matt Zone,not-an-inductee,,names-review-2026-09-23,
Gabriella and Joseph Rosalina,not-an-inductee,,names-review-2026-09-23,
"George E. Jaskiw, M.D.",not-an-inductee,,names-review-2026-09-23,
George Hwang,not-an-inductee,,names-review-2026-09-23,
Jasmin Santana,not-an-inductee,,names-review-2026-09-23,
Jason Lin,not-an-inductee,,names-review-2026-09-23,
John Borkowski,not-an-inductee,,names-review-2026-09-23,
John O'Brien Jr.,not-an-inductee,,names-review-2026-09-23,
Jure Zmauc Consul General of Slovenia,not-an-inductee,,names-review-2026-09-23,
Jure Žmauc Consul General of Slovenia,not-an-inductee,,names-review-2026-09-23,
Justice Terrence O'Donnell,not-an-inductee,,names-review-2026-09-23,
Karin McCutcheon,not-an-inductee,,names-review-2026-09-23,
Ken Lanci,not-an-inductee,,names-review-2026-09-23,
Ki Kim,not-an-inductee,,names-review-2026-09-23,
Kona Gant,not-an-inductee,,names-review-2026-09-23,
Len Komoroski,not-an-inductee,,names-review-2026-09-23,
Lisa Wong,not-an-inductee,,names-review-2026-09-23,
Loree Vick,not-an-inductee,,names-review-2026-09-23,
Lou Frangos,not-an-inductee,,names-review-2026-09-23,
Lt. Colonel Joe Meisner,not-an-inductee,,names-review-2026-09-23,
Margot Maurer,not-an-inductee,,names-review-2026-09-23,
Matt Zone,not-an-inductee,,names-review-2026-09-23,
Mayor Jane Campbell,not-an-inductee,,names-review-2026-09-23,
Mayor Richard Dell’Aquila,not-an-inductee,,names-review-2026-09-23,
Mayor Tony Biasiotta,not-an-inductee,,names-review-2026-09-23,
Michael Shreshta,not-an-inductee,,names-review-2026-09-23,
Raj Pillai,not-an-inductee,,names-review-2026-09-23,
Ratanjit Sondhe,inductee,ratanjit-s-sondhe-2013,names-review-2026-09-23,Exact name match; recorded 2026-09-23.
Rev Otis Moss Jr.,inductee,reverend-dr-otis-moss-jr-2011,names-review-2026-09-23,Exact name match; recorded 2026-09-23.
Richard Buoncore,not-an-inductee,,names-review-2026-09-23,
Rose Wong,not-an-inductee,,names-review-2026-09-23,
Sanjiv Kapur,not-an-inductee,,names-review-2026-09-23,
Stuart Muszynski,not-an-inductee,,names-review-2026-09-23,
Suresh Bafna,not-an-inductee,,names-review-2026-09-23,
Terry Stewart,not-an-inductee,,names-review-2026-09-23,
Thomas Zenty,not-an-inductee,,names-review-2026-09-23,
Tom Scanlon,not-an-inductee,,names-review-2026-09-23,
Tom Turkaly,not-an-inductee,,names-review-2026-09-23,
Umberto Fedeli,not-an-inductee,,names-review-2026-09-23,
Urszula Gacek Polish General Consul,not-an-inductee,,names-review-2026-09-23,
Valerie Schwonek,not-an-inductee,,names-review-2026-09-23,
"Wong, Margaret",inductee,margaret-w-wong-2010,names-review-2026-09-23,Exact name match; recorded 2026-09-23.
