placeId,approve,decisionReference,note
place:cleveland-cultural-gardens,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-state-university,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-city-hall,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:one-world-day-rockefeller-park,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:asiatown,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-public-library,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:asia-plaza,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:central-kinsman,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:sai-gon-plaza,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:greater-cleveland-ethnographic-museum,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:max-s-hayes-high-school,yes,places-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
