placeId,person,role,decisionReference,note
place:cleveland-ohio,anda-cook-2022,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,beverly-kerecman-2025,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,bishop-a-edward-pevec-2013,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,catherine-jorgensen-mccutcheon-2026,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,dr-dieu-thuc-do-2010,founded,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,helen-karpinski-1899-2002-2010,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,jack-coyne-2013,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,josef-holzer-2013,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,lonnie-mccauley-2010,worked,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,pierre-bejjani-2023,founded,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,richard-a-ganim-2015,founded,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,taras-szmagala-2022,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,veronica-dahlberg-2024,lived,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-ohio,victor-ruiz-2022,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-cultural-gardens,anda-cook-2022,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-cultural-gardens,berj-shakarian-2020,worked,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-cultural-gardens,branka-malinar-2025,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-cultural-gardens,johnny-k-wu-2024,worked,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-cultural-gardens,joyce-mariani-2023,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-cultural-gardens,leo-weidenthal-2010,founded,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-cultural-gardens,paul-burik-2019,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-cultural-gardens,svetlana-stolyarova-2025,founded,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-cultural-gardens,wael-khoury-2017,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-state-university,alex-machaskee-2010,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-state-university,jose-c-feliciano-2012,studied,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-state-university,margaret-w-wong-2010,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-state-university,mayor-frank-jackson-2025,studied,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-state-university,monte-ahuja-2014,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-city-hall,dr-eugene-jordan-2024,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-city-hall,joe-valencic-2020,worked,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-city-hall,mayor-frank-jackson-2025,worked,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-city-hall,tony-petkovsek-2011,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:one-world-day-rockefeller-park,anda-cook-2022,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:one-world-day-rockefeller-park,dona-brady-2024,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:one-world-day-rockefeller-park,georgine-welo-2023,worked,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:one-world-day-rockefeller-park,johnny-k-wu-2024,worked,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:one-world-day-rockefeller-park,sheila-murphy-crawford-2018,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:asiatown,donna-hom-2014,worked,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:asiatown,giahoa-ryan-2011,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:asiatown,johnny-k-wu-2024,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:asiatown,margaret-w-wong-2010,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-public-library,joe-valencic-2020,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:cleveland-public-library,leo-weidenthal-2010,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:asia-plaza,donna-hom-2014,founded,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:asia-plaza,johnny-k-wu-2024,organized,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:central-kinsman,mayor-frank-jackson-2025,lived,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:central-kinsman,paul-sciria-2010,lived,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:sai-gon-plaza,giahoa-ryan-2011,founded,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:ashtabula,veronica-dahlberg-2024,lived,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:beachwood-ohio,alex-machaskee-2010,lived,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:bentleyville-oh,taras-szmagala-2022,lived,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:greater-cleveland-ethnographic-museum,august-pust-2010,founded,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:max-s-hayes-high-school,mayor-frank-jackson-2025,studied,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:shaker-heights,jack-coyne-2013,lived,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:st-clair-superior,carl-robson-2022,worked,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
place:st-colman-church,fr-jim-o-donnell-2012,served,place-roles-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
