tieId,decision,kind,direction,label,inverseLabel,decisionReference,note
preview:person-rel:0622edc19194e9,relationship,friend-of,a-to-b,longtime friends,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25. Kind changed from Family to Friends by Tony Yanick, 2026-09-25."
preview:person-rel:1786508f3c767c,relationship,collaborated-with,a-to-b,"worked together at City Hall, 2006–2016",,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:1f7ceed61f472a,relationship,collaborated-with,a-to-b,worked together through the Community Relations Board,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:22c838ae73948c,relationship,collaborated-with,a-to-b,worked together in Italian cultural and civic life,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:3c76d1ff7841cf,relationship,family-of,a-to-b,married; led medical-service missions together,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:4f74dddf1bb11e,context,,,fellow members of the 2017 class,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:575645cc2e223c,relationship,collaborated-with,a-to-b,worked together in the Cultural Gardens Federation,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:5e81381bc906c0,relationship,collaborated-with,a-to-b,worked together at City Hall under Mayor Jackson,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:65f460e66edd9f,relationship,collaborated-with,a-to-b,worked together in the Cultural Gardens Federation,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:6d69f4f9d65b17,relationship,collaborated-with,a-to-b,worked together serving Cleveland's Hispanic community,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:84a82b11be4191,relationship,collaborated-with,a-to-b,worked together in city and state government,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:892660f65aeb45,context,,,Paramjit Singh welcomed Ramesh Shah into the Hall,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:897f566075161f,context,,,connected through Cleveland's international community,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:8e40365f3332f3,relationship,collaborated-with,a-to-b,worked together to promote Juneteenth,,connections-wording-2026-09-25,"longtime collaborator / fellow activist / community ally. Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:9461272745110b,relationship,founded-with,a-to-b,co-founded Helping Hands,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:953a64d58e4ad8,context,,,fellow members of the 2017 class,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:a40112ef729606,relationship,collaborated-with,a-to-b,worked together in Cleveland's Baltic community,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:a9a22722d7309e,context,,,connected through Cleveland's multicultural community,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:b31ed91caf948b,context,,,fellow members of the 2017 class,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:b6d6c274603e3d,relationship,collaborated-with,a-to-b,worked together on the Mayor's Asian Advisory Council,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:b85c29edad58f0,relationship,collaborated-with,a-to-b,connected through the American Nationalities Movement,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:bf085364d09f59,relationship,collaborated-with,a-to-b,political allies in Cleveland public life,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:cc2b7b68c1ddbd,relationship,collaborated-with,a-to-b,worked together on Cleveland development,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:dae721bffb7476,relationship,collaborated-with,a-to-b,connected through Catholic and Italian-American life,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:e0392db8b27982,context,,,fellow members of the 2013 class,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:e5a2d89b283fa7,relationship,succeeded,a-to-b,carries forward Leo Weidenthal's Cultural Gardens vision,whose Cultural Gardens vision Berj Shakarian carried on,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:e9629e62fb9811,context,,,fellow members of the 2017 class,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
preview:person-rel:f4681a01a1ab23,relationship,collaborated-with,a-to-b,worked together on community relations at City Hall,,connections-wording-2026-09-25,"Reviewed by Tony Yanick in the staff review app. Wording shortened to fit the map by the developer's AI assistant from the reviewer's own wording, at the request of Tony Yanick, 2026-09-25."
