id,name,classYear,region,contributionCount,contributionTypes,sourceDomains,sourceUrls,reviewStatus
helen-karpinski-1899-2002-2010,Helen Karpinski (1899 – 2002),2010,Europe,1,officialSiteLead,web.ulib.csuohio.edu,https://web.ulib.csuohio.edu/ebooks/karpinski/bio.html,needs-curator-approval-before-integration
jeanette-grasselli-brown-2010,Jeanette Grasselli Brown,2010,Europe,1,wikipediaSummary,en.wikipedia.org,https://en.wikipedia.org/wiki/Jeanette_Grasselli_Brown,needs-curator-approval-before-integration
margaret-w-wong-2010,Margaret W. Wong,2010,Asia,2,wikipediaSummary|officialSiteLead,en.wikipedia.org|imwong.com,https://en.wikipedia.org/wiki/Margaret_W._Wong|https://www.imwong.com/attorneys/,needs-curator-approval-before-integration
senator-george-voinovich-2010,Senator George Voinovich,2010,Europe,3,wikipediaSummary|officialSiteLead,archivesspace.ohio.edu|en.wikipedia.org|ohio.edu,https://en.wikipedia.org/wiki/George_Voinovich|https://www.ohio.edu/voinovich-school/about/george-voinovich|https://archivesspace.ohio.edu/agents/people/1014,needs-curator-approval-before-integration
ralph-j-perk-2011,Ralph J. Perk,2011,Europe,2,wikipediaSummary|officialSiteLead,case.edu|en.wikipedia.org,https://en.wikipedia.org/wiki/Ralph_Perk|https://case.edu/ech/articles/p/perk-ralph-j,needs-curator-approval-before-integration
reverend-dr-otis-moss-jr-2011,"Reverend Dr. Otis Moss, Jr.",2011,Africa,1,officialSiteLead,thehistorymakers.org,https://www.thehistorymakers.org/biography/reverend-dr-otis-moss-jr,needs-curator-approval-before-integration
hon-mary-rose-oakar-2012,Hon. Mary Rose Oakar,2012,Asia,1,officialSiteLead,bw.edu,https://www.bw.edu/centers/women-and-politics-of-ohio/bios/02-oakar-mary-rose/,needs-curator-approval-before-integration
jose-c-feliciano-2012,José C. Feliciano,2012,North America,2,officialSiteLead,business.csuohio.edu|ochla.ohio.gov,https://business.csuohio.edu/pointsofpride/jose-feliciano|https://ochla.ohio.gov/wps/portal/gov/ochla/about/board-of-commissioners/commissioners-bios/05-jose-feliciano,needs-curator-approval-before-integration
dr-maria-pujana-2013,Dr. Maria Pujana,2013,South America,2,officialSiteLead,clevelandfoundation100.org|mariapujanadesigns.com,https://www.clevelandfoundation100.org/trustees/maria-jose-pujana-2/|https://mariapujanadesigns.com/about-maria,needs-curator-approval-before-integration
josef-holzer-2013,Josef Holzer,2013,Europe,1,officialSiteLead,flash.ulib.csuohio.edu,http://flash.ulib.csuohio.edu/cmp/perk/holzer-odonnell.html,needs-curator-approval-before-integration
samuel-h-miller-2013,Samuel H. Miller,2013,Europe,2,officialSiteLead,catholiccommunity.org|cpl.org,https://cpl.org/citation/samuel-miller-papers-and-photographs/|https://www.catholiccommunity.org/about/our-impact/sam-miller,needs-curator-approval-before-integration
monte-ahuja-2014,Monte Ahuja,2014,Asia,2,officialSiteLead,clevelandvoices.org|indiaspora.org,https://clevelandvoices.org/items/show/1982|https://www.indiaspora.org/philanthropy-leader/monte-ahuja/,needs-curator-approval-before-integration
honorable-jose-a-villanueva-2015,Honorable José A. Villanueva,2015,North America,1,officialSiteLead,thehispanicroundtable.org,https://thehispanicroundtable.org/user/files/Bios/Judge%20Jose%20A-%20Villanueva%20Bio.pdf,needs-curator-approval-before-integration
richard-a-ganim-2015,Richard A. Ganim,2015,Asia,1,officialSiteLead,flash.ulib.csuohio.edu,http://flash.ulib.csuohio.edu/cmp/perk/akers-camp-ganim.html,needs-curator-approval-before-integration
jack-kahl-2016,Jack Kahl,2016,Europe,1,officialSiteLead,clevelandpolicefoundation.org,https://clevelandpolicefoundation.org/about-the-cpf/jack-kahl/,needs-curator-approval-before-integration
abby-mina-2018,Abby Mina,2018,Asia,2,officialSiteLead,clevelandvoices.org,https://clevelandvoices.org/items/browse?term=citizenship&advanced[0][element_id]=49&advanced[0][type]=contains&advanced[0][terms]=citizenship|https://clevelandvoices.org/items/show/2634,needs-curator-approval-before-integration
sree-sreenath-2019,Sree Sreenath,2019,Asia,1,officialSiteLead,vayuusa.org,https://vayuusa.org/team/sree-n-sreenath-1/,needs-curator-approval-before-integration
taras-szmagala-2022,Taras Szmagala,2022,Europe,1,officialSiteLead,csuohio.edu,https://www.csuohio.edu/sites/default/files/2026-02/bio-taras_szmagala_a11y.pdf,needs-curator-approval-before-integration
victor-ruiz-2022,Victor Ruiz,2022,North America,1,officialSiteLead,cpl.org,https://cpl.org/onecle/230/victor-ruiz/,needs-curator-approval-before-integration
georgine-welo-2023,Georgine Welo,2023,Europe,1,officialSiteLead,southeuclid.gov,https://southeuclid.gov/,needs-curator-approval-before-integration
joyce-mariani-2023,Joyce Mariani,2023,Europe,1,officialSiteLead,flash.ulib.csuohio.edu,http://flash.ulib.csuohio.edu/cmp/perk/mariani.html,needs-curator-approval-before-integration
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,Europe,1,officialSiteLead,kent.edu,https://www.kent.edu/bot/edward-f-crawford,needs-curator-approval-before-integration
mayor-frank-jackson-2025,Mayor Frank Jackson,2025,Africa,2,officialSiteLead,case.edu|hof.csulaw.org,https://case.edu/ech/articles/m/mayoral-administration-frank-g-jackson|https://hof.csulaw.org/hof-member/mayor-frank-g-jackson/,needs-curator-approval-before-integration
