id,name,classYear,region,collectionStatus,wikipediaStatus,wikipediaTitle,wikipediaUrl,wikidataStatus,wikidataId,wikidataLabel,officialSiteLeadCount,officialSiteLeadUrls,factStubCount,sourceErrorCount,officialSiteSourceErrorCount,reviewReason
alex-machaskee-2010,Alex Machaskee,2010,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
august-pust-2010,August Pust,2010,Europe,collected-needs-review,candidates-only,,,candidates-only,,,0,,1,0,0,Wikipedia candidates need identity review; Wikidata candidates need identity review; no official-site lead collected
dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,2010,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
helen-karpinski-1899-2002-2010,Helen Karpinski (1899 – 2002),2010,Europe,collected-needs-review,not-found,,,not-found,,,1,https://web.ulib.csuohio.edu/ebooks/karpinski/bio.html,1,0,0,no Wikipedia match collected; no Wikidata match collected; 1 official-site lead collected
irene-morrow-2010,Irene Morrow,2010,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
jeanette-grasselli-brown-2010,Jeanette Grasselli Brown,2010,Europe,collected-needs-review,strong-match,Jeanette Grasselli Brown,https://en.wikipedia.org/wiki/Jeanette_Grasselli_Brown,not-found,,,0,,1,1,0,strong Wikipedia candidate collected; no Wikidata match collected; no official-site lead collected
leo-weidenthal-2010,Leo Weidenthal,2010,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
lonnie-mccauley-2010,Lonnie McCauley,2010,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
margaret-w-wong-2010,Margaret W. Wong,2010,Asia,collected-needs-review,strong-match,Margaret W. Wong,https://en.wikipedia.org/wiki/Margaret_W._Wong,not-found,,,1,https://www.imwong.com/attorneys/,2,1,0,strong Wikipedia candidate collected; no Wikidata match collected; 1 official-site lead collected
paramjit-singh-2010,Paramjit Singh,2010,Asia,collected-needs-review,candidates-only,,,candidates-only,,,0,,1,0,0,Wikipedia candidates need identity review; Wikidata candidates need identity review; no official-site lead collected
paul-sciria-2010,Paul Sciria,2010,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
robert-j-haas-2010,Robert J. Haas,2010,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,0,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
senator-george-voinovich-2010,Senator George Voinovich,2010,Europe,collected-needs-review,strong-match,George Voinovich,https://en.wikipedia.org/wiki/George_Voinovich,candidates-only,,,2,https://www.ohio.edu/voinovich-school/about/george-voinovich|https://archivesspace.ohio.edu/agents/people/1014,3,0,0,strong Wikipedia candidate collected; Wikidata candidates need identity review; 2 official-site leads collected
albert-b-ratner-2011,Albert B. Ratner,2011,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
gerald-m-quinn-2011,Gerald M. Quinn,2011,Europe,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
giahoa-ryan-2011,Giahoa Ryan,2011,Asia,collected-needs-review,candidates-only,,,not-found,,,0,,1,1,0,Wikipedia candidates need identity review; no Wikidata match collected; no official-site lead collected
lucretia-stoica-2011,Lucretia Stoica,2011,Europe,collected-needs-review,not-found,,,not-found,,,0,,1,1,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
luis-martinez-2011,Luis Martinez,2011,North America,collected-needs-review,not-found,,,not-found,,,0,,1,2,0,no Wikipedia match collected; no Wikidata match collected; no official-site lead collected
