reviewPriority,inducteeId,inducteeName,classYear,region,sourceProfileCount,primarySourceProfileUrl,profileAliasCount,newImageReviewCount,newProfileVideoReviewCount,newContextVideoReviewCount,relationshipReviewCount,placeReviewCount,organizationReviewCount,primaryStoryLeadCount,manualFlags,nextBestAction
high,aklilu-demessie-2026,Aklilu Demessie,2026,Africa,1,https://clevelandinternationalhalloffame.com/aklilu-demessie/,0,1,0,12,21,0,8,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,andy-chakalis-2026,Andy Chakalis,2026,Europe,1,https://clevelandinternationalhalloffame.com/andy-chakalis/,0,1,0,3,7,1,5,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,andy-fedynsky-2026,Andy Fedynsky,2026,Europe,1,https://clevelandinternationalhalloffame.com/andy-fedynsky/,0,3,0,3,8,1,4,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,2026,Europe,1,https://clevelandinternationalhalloffame.com/catherine-jorgensen-mccutcheon/,0,1,0,3,7,1,2,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,le-nguyen-2026,Le Nguyen,2026,Asia,2,https://clevelandinternationalhalloffame.com/le-nguyen-class-of-2026-vietnames-heritage-cleveland-international-hall-of-fame/,1,1,0,3,8,1,1,3,profile-alias-review|duplicate-source-pages|image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,lucy-torres-2026,Lucy Torres,2026,North America,1,https://clevelandinternationalhalloffame.com/lucy-torres/,0,1,0,3,8,1,6,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,beverly-kerecman-2025,Beverly Kerecman,2025,Asia,1,https://clevelandinternationalhalloffame.com/beverly-kerecman/,0,13,0,4,5,2,9,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,branka-malinar-2025,Branka Malinar,2025,Europe,1,https://clevelandinternationalhalloffame.com/branka-malinar/,0,17,0,4,5,0,14,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,david-gilbert-2025,David Gilbert,2025,North America,1,https://clevelandinternationalhalloffame.com/david-gilbert/,0,19,0,4,7,0,3,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,mayor-frank-jackson-2025,Mayor Frank Jackson,2025,Africa,1,https://clevelandinternationalhalloffame.com/mayor-frank-jackson/,0,31,0,6,9,0,6,3,image-rights-review|video-context-review|relationship-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
high,raj-aggarwal-2025,Raj Aggarwal,2025,Asia,1,https://clevelandinternationalhalloffame.com/raj-aggarwal/,0,5,0,4,5,1,3,3,image-rights-review|video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review new image leads for rights and portrait suitability.
