reviewAction,sourceKind,title,sourcePageUrl,primaryClassYearCandidates,allClassYearCandidates,imageCount,attachedMediaCount,youtubeVideoIds,mentionedInducteeCount,confidence
review-as-class-source,class-or-ceremony-page,2016 Class of the Cleveland International Hall of Fame,https://clevelandinternationalhalloffame.com/induction-class-2016/,2016,2015|2016,8,6,,5,0.78
review-as-class-source,class-or-ceremony-page,2018 Induction,https://clevelandinternationalhalloffame.com/2018-induction/,2018,2018|2019,24,24,Pg4Uqs_wZRY|o_9k7ZtTvas|_uTf8G8a6b0|YCV-PL-GOuk|bsoEDM5cG2s,4,0.78
review-as-class-source,photo-gallery,2018 Inductions Photo Page,https://clevelandinternationalhalloffame.com/2018-inductions-photo-page/,2018,2018,62,96,,7,0.78
review-as-class-source,class-or-ceremony-page,2019 Induction Ceremony,https://clevelandinternationalhalloffame.com/2019-induction-ceremony/,2019,2010|2019,19,20,Ssb2SQ6HPoo|vwTIgQpdBEo|w2Xq5luKGCU|lHHN_zd8O8k|_ifygk1bw5Q|eCOSePkWnFY,20,0.78
review-as-class-source,photo-gallery,2019 Inductions Photo Page,https://clevelandinternationalhalloffame.com/2019-inductions-photo-page/,2019,2019,65,69,,0,0.78
review-as-class-source,class-or-ceremony-page,2023 Induction Ceremony,https://clevelandinternationalhalloffame.com/2023-induction-ceremony/,2023,2023|2024,15,16,yR18WkgJ_tQ|7im99WF6Sfw|DhCiFpCsGFk|RImDK_lpjFM|EtHbvT_s4NY|ynzDfs0graM|lF42eHsGdFc,6,0.78
review-as-class-source,class-or-ceremony-page,2023 Inductions People Page,https://clevelandinternationalhalloffame.com/2023-inductions-people-page/,2023,2023,92,100,,0,0.78
review-as-class-source,class-or-ceremony-page,2024 Induction Ceremony,https://clevelandinternationalhalloffame.com/2024-inductions/,2024,2010|2024,17,0,P34omi5XUiY,5,0.78
review-as-class-source,class-or-ceremony-page,2024 Induction Ceremony Details,https://clevelandinternationalhalloffame.com/2024-details/,2024,2011|2024,6,0,I133bhcNqgo|P34omi5XUiY,40,0.78
review-as-class-source,photo-gallery,2024 Photo Page,https://clevelandinternationalhalloffame.com/2024-photo-page/,2024,2024,69,69,,0,0.78
