reviewAction,inducteeId,inducteeName,classYear,organizationName,confidence,evidenceCount,sourcePageUrls,publicUse
organization-context-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Education Advisory Board Ohio University,0.48,2,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,candidate-only
organization-context-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Improvement Corporation- Past President El Barrio Jobs Committee,0.48,2,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,candidate-only
organization-context-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Past President Ohio University National Alumni Board Ohio University,0.48,2,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,candidate-only
organization-context-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Philanthropy- Ohio Women Geauga County Hungarian Club Hungarian Heritage Society,0.48,2,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,candidate-only
organization-context-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,President Geauga County Community,0.48,2,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,candidate-only
organization-context-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,President Ohio University Foundation Board Ohio University College,0.48,2,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,candidate-only
organization-context-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Revolution Geauga Growth Partnership Geauga Community,0.48,2,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,candidate-only
organization-context-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,University of Pecs Advisory Board Community,0.48,2,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,candidate-only
organization-context-review,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,Cleveland State University,0.48,2,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/eugenia-stolarczyk/,candidate-only
organization-context-review,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,Ethnic Heritage Studies Program,0.48,2,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/eugenia-stolarczyk/,candidate-only
organization-context-review,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,International Service Center,0.48,2,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/eugenia-stolarczyk/,candidate-only
organization-context-review,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,International Services Center,0.48,2,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/eugenia-stolarczyk/,candidate-only
organization-context-review,eugenia-stolarczyk-2016-2016,Eugenia Stolarczyk – 2016,2016,Polish American Cultural Center,0.48,2,https://clevelandinternationalhalloffame.com/eugenia-stolarczyk-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/eugenia-stolarczyk/,candidate-only
organization-context-review,jack-kahl-2016,Jack Kahl,2016,Irish Garden Club,0.48,2,https://clevelandinternationalhalloffame.com/induction-event-info/jack-kahl/|https://clevelandinternationalhalloffame.com/jack-kahl-2016/,candidate-only
organization-context-review,jack-kahl-2016,Jack Kahl,2016,Jack Kahl Entrepreneurship Center,0.48,2,https://clevelandinternationalhalloffame.com/induction-event-info/jack-kahl/|https://clevelandinternationalhalloffame.com/jack-kahl-2016/,candidate-only
organization-context-review,jack-kahl-2016,Jack Kahl,2016,John Carroll University,0.48,2,https://clevelandinternationalhalloffame.com/induction-event-info/jack-kahl/|https://clevelandinternationalhalloffame.com/jack-kahl-2016/,candidate-only
organization-context-review,jack-kahl-2016,Jack Kahl,2016,School Home Office Products Association,0.48,2,https://clevelandinternationalhalloffame.com/induction-event-info/jack-kahl/|https://clevelandinternationalhalloffame.com/jack-kahl-2016/,candidate-only
organization-context-review,khalid-samad-2016-2016,Khalid Samad – 2016,2016,Arab-American Concerns Committee,0.48,2,https://clevelandinternationalhalloffame.com/induction-event-info/khalid-samad/|https://clevelandinternationalhalloffame.com/khalid-samad-2016/,candidate-only
