reviewAction,inducteeId,inducteeName,classYear,phraseLabel,phraseQuality,confidence,evidenceCount,sourcePageUrls,existingCountryTags,inferredCountryTags,safeguardStatus,migrationDirection,publicUse
exploratory-place-phrase-review,mohan-bafna-2016,Mohan Bafna,2016,Suresh Bafna My father,needs-heavy-place-review,0.38,2,https://clevelandinternationalhalloffame.com/induction-event-info/dr-mohan-bafna/|https://clevelandinternationalhalloffame.com/mohan-bafna-2016/,India,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,Cairo,needs-heavy-place-review,0.38,2,https://clevelandinternationalhalloffame.com/induction-event-info/rev-mikhail-mikhail/|https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/,Egypt,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,Ashland Theological Seminary. He,fragment-or-nonplace-likely,0.38,2,https://clevelandinternationalhalloffame.com/induction-event-info/rev-mikhail-mikhail/|https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/,Egypt,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,Sherrie,needs-heavy-place-review,0.38,2,https://clevelandinternationalhalloffame.com/induction-event-info/rev-mikhail-mikhail/|https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/,Egypt,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,Bishoy,needs-heavy-place-review,0.38,2,https://clevelandinternationalhalloffame.com/induction-event-info/rev-mikhail-mikhail/|https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/,Egypt,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,le-nguyen-2026,Le Nguyen,2026,Can Tho,needs-heavy-place-review,0.38,2,https://clevelandinternationalhalloffame.com/le-nguyen-class-of-2026-vietnames-heritage-cleveland-international-hall-of-fame/|https://clevelandinternationalhalloffame.com/le-nguyen/,Vietnam,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,le-nguyen-2026,Le Nguyen,2026,Greater Cleveland along Detroit,fragment-or-nonplace-likely,0.38,2,https://clevelandinternationalhalloffame.com/le-nguyen-class-of-2026-vietnames-heritage-cleveland-international-hall-of-fame/|https://clevelandinternationalhalloffame.com/le-nguyen/,Vietnam,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,2010,Rach Gia,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/dr-dieu-thuc-do-2010/,Vietnam,Vietnam,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,2010,Sai Gon Medical school,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/dr-dieu-thuc-do-2010/,Vietnam,Vietnam,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,helen-karpinski-1899-2002-2010,Helen Karpinski (1899 – 2002),2010,Cleveland in,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/helen-karpinski-2010/,Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,helen-karpinski-1899-2002-2010,Helen Karpinski (1899 – 2002),2010,Reynoldsville,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/helen-karpinski-2010/,Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,leo-weidenthal-2010,Leo Weidenthal,2010,Cleveland to Emanuel,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/leo-weidenthal-2010/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,lonnie-mccauley-2010,Lonnie McCauley,2010,Cleveland on September,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/lonnie-mccauley-2010/,Ireland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,paramjit-singh-2010,Paramjit Singh,2010,India gave Paramjit the,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/paramjit-singh-2010/,India,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,gerald-m-quinn-2011,Gerald M. Quinn,2011,Garracloon,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/gerald-m-quinn-2011/,Ireland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,gerald-m-quinn-2011,Gerald M. Quinn,2011,Ballina,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/gerald-m-quinn-2011/,Ireland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,gerald-m-quinn-2011,Gerald M. Quinn,2011,Wexford. Gerry,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/gerald-m-quinn-2011/,Ireland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,gerald-m-quinn-2011,Gerald M. Quinn,2011,Garracloon on his own,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/gerald-m-quinn-2011/,Ireland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,giahoa-ryan-2011,Giahoa Ryan,2011,Viet Nam,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/giahoa-ryan-2011/,Vietnam,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,giahoa-ryan-2011,Giahoa Ryan,2011,Vietnam to Cleveland for,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/giahoa-ryan-2011/,Vietnam,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,giahoa-ryan-2011,Giahoa Ryan,2011,Viet Nam for,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/giahoa-ryan-2011/,Vietnam,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,lucretia-stoica-2011,Lucretia Stoica,2011,Youngstown,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/lucretia-stoica-2011/,Romania,Romania,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,luis-martinez-2011,Luis Martinez,2011,Bayamon,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/luis-martinez-2011/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,luis-martinez-2011,Luis Martinez,2011,Puerto Rico to Lorain,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/luis-martinez-2011/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,luis-martinez-2011,Luis Martinez,2011,Lorain Admiral King High,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/luis-martinez-2011/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,luis-martinez-2011,Luis Martinez,2011,OSU,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/luis-martinez-2011/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,reverend-dr-otis-moss-jr-2011,"Reverend Dr. Otis Moss, Jr.",2011,La Grange,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/reverend-dr-otis-moss-jr-2011/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,reverend-dr-otis-moss-jr-2011,"Reverend Dr. Otis Moss, Jr.",2011,Olivet Institutional Baptist Church,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/reverend-dr-otis-moss-jr-2011/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,tony-petkovsek-2011,Tony Petkovsek,2011,Noon till,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/tony-petkovsek-2011/,Slovenia,Slovenia,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,tony-petkovsek-2011,Tony Petkovsek,2011,Alaska,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/tony-petkovsek-2011/,Slovenia,Slovenia,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,vijaya-l-emani-2011,Vijaya L. Emani,2011,Kurnool,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/vijaya-l-emani-2011/,India,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,dr-jaya-shah-2012,Dr. Jaya Shah,2012,Medtronics,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/dr-jaya-shah-2012/,India,India,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,jose-c-feliciano-2012,José C. Feliciano,2012,Yauco,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/jose-feliciano-2012/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,jose-c-feliciano-2012,José C. Feliciano,2012,Northeastern Ohio. He wrote,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/jose-feliciano-2012/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,milton-maltz-2012,Milton Maltz,2012,New York to Los,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/milton-maltz-2012/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,milton-maltz-2012,Milton Maltz,2012,President George W. Bush,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/milton-maltz-2012/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,vladimir-rus-2012,Vladimir Rus,2012,Rijeka,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/vladimir-rus-2012/,Croatia,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,dr-maria-pujana-2013,Dr. Maria Pujana,2013,Score Magazine,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/maria-pujana-2013/,Colombia,Colombia,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,josef-holzer-2013,Josef Holzer,2013,September of,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/joseph-holzer-2013/,Serbia,Serbia,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,ratanjit-s-sondhe-2013,Ratanjit S. Sondhe,2013,India in,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/ratanjit-sondhe-2013/,India,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,donna-hom-2014,Donna Hom,2014,Guangdong province in southern,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/donna-hom-2014/,China,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,donna-hom-2014,Donna Hom,2014,Westgate Mall. The location,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/donna-hom-2014/,China,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,donna-hom-2014,Donna Hom,2014,East,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/donna-hom-2014/,China,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,eugene-bak-2014,Eugene Bak,2014,Poland. In February,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/eugene-bak-2014/,Poland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,eugene-bak-2014,Eugene Bak,2014,Siberia in,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/eugene-bak-2014/,Poland,,needs-geography-review,not-inferred,candidate-only
