reviewAction,inducteeId,inducteeName,classYear,placeLabel,placeScopeHint,confidence,evidenceCount,evidenceTypes,sourcePageUrls,existingCountryTags,inferredCountryTags,safeguardStatus,migrationDirection,publicUse
geography-safeguard-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Hungary,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/,Hungary,Hungary,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,mohan-bafna-2016,Mohan Bafna,2016,India,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/mohan-bafna-2016/,India,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,Egypt,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/,Egypt,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,atul-mehta-2018,Atul Mehta,2018,Cleveland Clinic,cleveland-or-northeast-ohio,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,India,India,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,atul-mehta-2018,Atul Mehta,2018,India,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,India,India,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,Cleveland Cultural Gardens,cleveland-or-northeast-ohio,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,Ireland,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,Puerto Rico,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,akram-boutros-2019,Akram Boutros,2019,Egypt,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/akram-boutros/,Egypt,Egypt,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,ingrida-bublys-2019,Ingrida Bublys,2019,Lithuania,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/ingrida-bublys/,Lithuania,Lithuania,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,sree-sreenath-2019,Sree Sreenath,2019,India,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/sree-sreenath/,India,India,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,berj-shakarian-2020,Berj Shakarian,2020,Cultrual Garden,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/berj-shakarian/,Armenia|Romania,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,may-chen-2020,May Chen,2020,China,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/may-chen/,China,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,ramesh-shah-2020,Ramesh Shah,2020,India,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/ramesh-shah/,India,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,anda-cook-2022,Anda Cook,2022,Latvia,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/anda-cook/,Latvia,Latvia,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,carl-robson-2022,Carl Robson,2022,Ethiopia,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/carl-robson/,Ethiopia,Ethiopia,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,taras-szmagala-2022,Taras Szmagala,2022,Ukraine,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/taras-szmagala/,Ukraine,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,victor-ruiz-2022,Victor Ruiz,2022,Puerto Rico,needs-review,0.62,2,source-phrase|wordpress-tag,https://clevelandinternationalhalloffame.com/victor-ruiz/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,joyce-mariani-2023,Joyce Mariani,2023,Italian Garden,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/joyce-mariani/,Italy,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,joyce-mariani-2023,Joyce Mariani,2023,Italy,needs-review,0.62,2,source-phrase|wordpress-tag,https://clevelandinternationalhalloffame.com/joyce-mariani/,Italy,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,sudarshan-sathe-2023,Sudarshan Sathe,2023,India,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/sudarshan-sathe/,India,India,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,dona-brady-2024,Dona Brady,2024,Albania,needs-review,0.62,2,source-phrase|wordpress-tag,https://clevelandinternationalhalloffame.com/inductees/dona-brady/,Albania,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,erika-puussaar-2024,Erika Puussaar,2024,Estonia,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/inductees/erika-puussaar/,Estonia,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,beverly-kerecman-2025,Beverly Kerecman,2025,Japan,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/beverly-kerecman/,Japan,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,raj-aggarwal-2025,Raj Aggarwal,2025,India,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/raj-aggarwal/,India,India,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,svetlana-stolyarova-2025,Svetlana Stolyarova,2025,Russia,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/svetlana-stolyarova/,Russia,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,andy-fedynsky-2026,Andy Fedynsky,2026,Ukraine,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/andy-fedynsky/,Austria|Ukraine,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,2026,Norway,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/catherine-jorgensen-mccutcheon/,Norway,Norway,needs-geography-review,not-inferred,candidate-only
