reviewAction,sourcePersonId,sourcePersonName,targetEntityType,targetEntityId,targetDisplayName,type,displayLabel,provenanceCandidate,confidence,evidenceCount,evidenceTypes,sourcePageUrls,referenceNote,publicUse
review-as-documented-person-relationship,bill-miller-2017,Bill Miller,person,august-pust-2010,August Pust,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees-europe/bill-miller/,Original CIHOF profile lists inducted by August Pust.,candidate-only
review-as-documented-person-relationship,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,person,dr-maria-pujana-2013,Dr. Maria Pujana,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/,Original CIHOF profile lists inducted by Dr. Maria Pujana.,candidate-only
review-as-documented-person-relationship,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,person,dr-maria-pujana-2013,Dr. Maria Pujana,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,Original CIHOF profile lists inducted by Dr. Maria Pujana.,candidate-only
review-as-documented-person-relationship,georgine-welo-2023,Georgine Welo,person,alex-machaskee-2010,Alex Machaskee,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/georgine-welo/,Original CIHOF profile lists inducted by Alex Machaskee.,candidate-only
review-as-documented-person-relationship,honorable-jose-a-villanueva-2015,Honorable José A. Villanueva,person,jose-c-feliciano-2012,José C. Feliciano,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/honorable-jose-a-villanueva-2015/,Original CIHOF profile lists inducted by José Feliciano.,candidate-only
review-as-documented-person-relationship,johnny-k-wu-2024,Johnny K. Wu,person,margaret-w-wong-2010,Margaret W. Wong,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees/johnny-k-wu/,Original CIHOF profile lists inducted by Margaret Wong.,candidate-only
review-as-documented-person-relationship,joyce-mariani-2023,Joyce Mariani,person,basil-russo-2017,Basil Russo,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/joyce-mariani/,Original CIHOF profile lists inducted by Basil Russo.,candidate-only
review-as-documented-person-relationship,may-chen-2020,May Chen,person,margaret-w-wong-2010,Margaret W. Wong,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/may-chen/,Original CIHOF profile lists inducted by Margaret Wong.,candidate-only
review-as-documented-person-relationship,mona-alag-2017,Mona Alag,person,sudarshan-sathe-2023,Sudarshan Sathe,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/inductees/mona-alag/,Original CIHOF profile lists inducted by Sudarshan Sathe.,candidate-only
review-as-documented-person-relationship,ramesh-shah-2020,Ramesh Shah,person,sudarshan-sathe-2023,Sudarshan Sathe,inducted_by,Inducted by,documented-source-candidate,0.78,1,inducted-by-line,https://clevelandinternationalhalloffame.com/ramesh-shah/,Original CIHOF profile lists inducted by Sudarshan Sathe.,candidate-only
