reviewAction,inducteeId,inducteeName,classYear,youtubeVideoId,sourceUrl,assignment,confidence,alreadyInMediaManifest,rightsStatus,sourcePageUrl
review-video-context-before-assignment,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,qCjr03YRJR0,https://www.youtube.com/watch?v=qCjr03YRJR0,profile-page-embed,0.72,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/
review-video-context-before-assignment,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,kBr4SVfZ_Ec,https://www.youtube.com/watch?v=kBr4SVfZ_Ec,profile-page-embed,0.72,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/
review-video-context-before-assignment,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,ix03H0nVr4g,https://www.youtube.com/watch?v=ix03H0nVr4g,profile-page-embed,0.72,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/
review-video-context-before-assignment,rev-mikhail-mikhail-2016,Rev. Mikhail Mikhail,2016,OBuRGUXC-Cw,https://www.youtube.com/watch?v=OBuRGUXC-Cw,profile-page-embed,0.72,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/reverend-mikhail-mikhail-2016/
review-video-context-before-assignment,ramesh-shah-2020,Ramesh Shah,2020,0voVPcRDeyU,https://www.youtube.com/watch?v=0voVPcRDeyU,profile-page-embed,0.72,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/inductees/ramesh-shah/
review-video-context-before-assignment,alex-machaskee-2010,Alex Machaskee,2010,I133bhcNqgo,https://www.youtube.com/watch?v=I133bhcNqgo,class-or-ceremony-page-mention,0.32,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/2024-details/
review-video-context-before-assignment,alex-machaskee-2010,Alex Machaskee,2010,P34omi5XUiY,https://www.youtube.com/watch?v=P34omi5XUiY,class-or-ceremony-page-mention,0.32,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/2024-details/
review-video-context-before-assignment,alex-machaskee-2010,Alex Machaskee,2010,yR18WkgJ_tQ,https://www.youtube.com/watch?v=yR18WkgJ_tQ,class-or-ceremony-page-mention,0.32,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/2023-induction-ceremony/
review-video-context-before-assignment,alex-machaskee-2010,Alex Machaskee,2010,7im99WF6Sfw,https://www.youtube.com/watch?v=7im99WF6Sfw,class-or-ceremony-page-mention,0.32,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/2023-induction-ceremony/
review-video-context-before-assignment,alex-machaskee-2010,Alex Machaskee,2010,DhCiFpCsGFk,https://www.youtube.com/watch?v=DhCiFpCsGFk,class-or-ceremony-page-mention,0.32,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/2023-induction-ceremony/
review-video-context-before-assignment,alex-machaskee-2010,Alex Machaskee,2010,RImDK_lpjFM,https://www.youtube.com/watch?v=RImDK_lpjFM,class-or-ceremony-page-mention,0.32,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/2023-induction-ceremony/
review-video-context-before-assignment,alex-machaskee-2010,Alex Machaskee,2010,EtHbvT_s4NY,https://www.youtube.com/watch?v=EtHbvT_s4NY,class-or-ceremony-page-mention,0.32,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/2023-induction-ceremony/
review-video-context-before-assignment,alex-machaskee-2010,Alex Machaskee,2010,ynzDfs0graM,https://www.youtube.com/watch?v=ynzDfs0graM,class-or-ceremony-page-mention,0.32,false,needs-rights-caption-transcript-review,https://clevelandinternationalhalloffame.com/2023-induction-ceremony/
