fromInducteeId,fromName,relationshipType,targetName,targetInducteeId,targetInducteeName,confidence,sourcePageUrl,needsReview
abby-mina-2018,Abby Mina,inducted_by,his son Michael Mina and Pierre Bejjani,,,0.62,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,true
aklilu-demessie-2026,Aklilu Demessie,inducted_by,"his daughter Dr. Menna Demessie, Ph.D",,,0.62,https://clevelandinternationalhalloffame.com/aklilu-demessie/,true
akram-boutros-2019,Akram Boutros,inducted_by,Cuyahoga County Executive Armond Budish,,,0.62,https://clevelandinternationalhalloffame.com/akram-boutros/,true
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,inducted_by,Ambassador Nason,,,0.62,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,true
andy-chakalis-2026,Andy Chakalis,inducted_by,Lou Frangos,,,0.62,https://clevelandinternationalhalloffame.com/andy-chakalis/,true
andy-fedynsky-2026,Andy Fedynsky,inducted_by,"United Ukrainian Organizations of Ohio President George E. Jaskiw, M.D",,,0.62,https://clevelandinternationalhalloffame.com/andy-fedynsky/,true
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,inducted_by,the Honorary Consul of the Republic of Lithuania Ingrida Bublys,,,0.62,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,true
atul-mehta-2018,Atul Mehta,inducted_by,"Richard J. Buoncore , Managing Partner, MAI Capital Management",,,0.62,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,true
basil-russo-2017,Basil Russo,inducted_by,daughter Gabriella and son-in-law Joseph Rosalina,,,0.62,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,true
berj-shakarian-2020,Berj Shakarian,inducted_by,Paul Burik and Dr. Wael Khoury,,,0.62,https://clevelandinternationalhalloffame.com/berj-shakarian/,true
beverly-kerecman-2025,Beverly Kerecman,inducted_by,OCAGC President Lisa Wong,,,0.62,https://clevelandinternationalhalloffame.com/beverly-kerecman/,true
bill-miller-2017,Bill Miller,inducted_by,August Pust,august-pust-2010,August Pust,0.78,https://clevelandinternationalhalloffame.com/inductees-europe/bill-miller/,true
bishop-anthony-pilla-2015,Bishop Anthony Pilla,inducted_by,Sam Miller,,,0.62,https://clevelandinternationalhalloffame.com/bishop-anthony-pilla-2015/,true
branka-malinar-2025,Branka Malinar,inducted_by,Thomas Turkaly,,,0.62,https://clevelandinternationalhalloffame.com/branka-malinar/,true
carolyn-balogh-2016-2016,Carolyn Balogh – 2016,inducted_by,Dr. Maria Pujana,dr-maria-pujana-2013,Dr. Maria Pujana,0.78,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/,true
carolyn-balogh-2016-2016,Carolyn Balogh – 2016,inducted_by,Dr. Maria Pujana,dr-maria-pujana-2013,Dr. Maria Pujana,0.78,https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,true
catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,inducted_by,her daughter Karin McCutcheon,,,0.62,https://clevelandinternationalhalloffame.com/catherine-jorgensen-mccutcheon/,true
david-gilbert-2025,David Gilbert,inducted_by,Global Cleveland CEO Joe Cimperman,,,0.62,https://clevelandinternationalhalloffame.com/david-gilbert/,true
dona-brady-2024,Dona Brady,inducted_by,Mike Polensek,,,0.62,https://clevelandinternationalhalloffame.com/inductees/dona-brady/,true
dr-eugene-jordan-2024,Dr. Eugene Jordan,inducted_by,Rev Moss Jr,,,0.62,https://clevelandinternationalhalloffame.com/inductees/dr-eugene-jordan/,true
erika-puussaar-2024,Erika Puussaar,inducted_by,Ambassador Prikk,,,0.62,https://clevelandinternationalhalloffame.com/inductees/erika-puussaar/,true
