inducteeId,inducteeName,classYear,placeLabel,evidenceType,confidence,sourcePageUrl,safeguardStatus,migrationDirection
abby-mina-2018,Abby Mina,2018,Arab,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,needs-geography-review,not-inferred
abby-mina-2018,Abby Mina,2018,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,needs-geography-review,not-inferred
abby-mina-2018,Abby Mina,2018,Lebanese,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,needs-geography-review,not-inferred
abby-mina-2018,Abby Mina,2018,Middle East,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,needs-geography-review,not-inferred
aklilu-demessie-2026,Aklilu Demessie,2026,Ethiopian,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/aklilu-demessie/,needs-geography-review,not-inferred
aklilu-demessie-2026,Aklilu Demessie,2026,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/aklilu-demessie/,needs-geography-review,not-inferred
akram-boutros-2019,Akram Boutros,2019,2019. MetroHealth,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/akram-boutros/,needs-geography-review,not-inferred
akram-boutros-2019,Akram Boutros,2019,Boutros,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/akram-boutros/,needs-geography-review,not-inferred
akram-boutros-2019,Akram Boutros,2019,Egypt,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/akram-boutros/,needs-geography-review,not-inferred
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,needs-geography-review,not-inferred
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,Irish,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,needs-geography-review,not-inferred
anda-cook-2022,Anda Cook,2022,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/anda-cook/,needs-geography-review,not-inferred
anda-cook-2022,Anda Cook,2022,Latvia,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/anda-cook/,needs-geography-review,not-inferred
andy-chakalis-2026,Andy Chakalis,2026,Greek,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/andy-chakalis/,needs-geography-review,not-inferred
andy-chakalis-2026,Andy Chakalis,2026,inductee,wordpress-tag,0.62,https://clevelandinternationalhalloffame.com/andy-chakalis/,needs-geography-review,not-inferred
