inducteeId,inducteeName,classYear,sourceTitle,sourceUrl,matchType,confidence,currentProfileUrl
abby-mina-2018,Abby Mina,2018,Abby Mina,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,profile-url,1,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/
aklilu-demessie-2026,Aklilu Demessie,2026,Aklilu Demessie – Class of 2026,https://clevelandinternationalhalloffame.com/aklilu-demessie/,profile-url,1,https://clevelandinternationalhalloffame.com/aklilu-demessie/
akram-boutros-2019,Akram Boutros,2019,Akram Boutros,https://clevelandinternationalhalloffame.com/akram-boutros/,profile-url,1,https://clevelandinternationalhalloffame.com/akram-boutros/
albert-b-ratner-2011,Albert B. Ratner,2011,Albert B. Ratner – 2011,https://clevelandinternationalhalloffame.com/albert-b-ratner-2011/,profile-url,1,https://clevelandinternationalhalloffame.com/albert-b-ratner-2011/
alex-machaskee-2010,Alex Machaskee,2010,Alex Machaskee – 2010,https://clevelandinternationalhalloffame.com/alex-machaskee-2010/,profile-url,1,https://clevelandinternationalhalloffame.com/alex-machaskee-2010/
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,Ambassador Edward F. Crawford,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,profile-url,1,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/
anda-cook-2022,Anda Cook,2022,Anda Cook,https://clevelandinternationalhalloffame.com/anda-cook/,profile-url,1,https://clevelandinternationalhalloffame.com/anda-cook/
andy-chakalis-2026,Andy Chakalis,2026,Andy Chakalis – Class of 2026,https://clevelandinternationalhalloffame.com/andy-chakalis/,profile-url,1,https://clevelandinternationalhalloffame.com/andy-chakalis/
andy-fedynsky-2026,Andy Fedynsky,2026,Andy Fedynsky – Class of 2026,https://clevelandinternationalhalloffame.com/andy-fedynsky/,profile-url,1,https://clevelandinternationalhalloffame.com/andy-fedynsky/
,,2026,Anjan Ghose,https://clevelandinternationalhalloffame.com/anjan-ghose/,unresolved,0,
anthony-yen-yan-yuan-tai-2012,Anthony Yen (Yan Yuan Tai),2012,Anthony Yen – 2012,https://clevelandinternationalhalloffame.com/anthony-yen-2012/,profile-url,1,https://clevelandinternationalhalloffame.com/anthony-yen-2012/
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,Arnie de la Porte – 2016,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,profile-url,1,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/
atul-mehta-2018,Atul Mehta,2018,Atul Mehta,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,profile-url,1,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/
august-pust-2010,August Pust,2010,August Pust – 2010,https://clevelandinternationalhalloffame.com/august-pust-2010/,profile-url,1,https://clevelandinternationalhalloffame.com/august-pust-2010/
basil-russo-2017,Basil Russo,2017,Basil Russo,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,profile-url,1,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/
berj-shakarian-2020,Berj Shakarian,2020,Berj Shakarian,https://clevelandinternationalhalloffame.com/berj-shakarian/,profile-url,1,https://clevelandinternationalhalloffame.com/berj-shakarian/
beverly-kerecman-2025,Beverly Kerecman,2025,Beverly Kerecman,https://clevelandinternationalhalloffame.com/beverly-kerecman/,profile-url,1,https://clevelandinternationalhalloffame.com/beverly-kerecman/
bill-miller-2017,Bill Miller,2017,Bill Miller,https://clevelandinternationalhalloffame.com/inductees-europe/bill-miller/,profile-url,1,https://clevelandinternationalhalloffame.com/inductees-europe/bill-miller/
bishop-a-edward-pevec-2013,Bishop A. Edward Pevec,2013,Bishop A. Edward Pevec – 2013,https://clevelandinternationalhalloffame.com/bishop-a-edward-pevec-2013/,profile-url,1,https://clevelandinternationalhalloffame.com/bishop-a-edward-pevec-2013/
bishop-anthony-pilla-2015,Bishop Anthony Pilla,2015,Bishop Anthony Pilla – 2015,https://clevelandinternationalhalloffame.com/bishop-anthony-pilla-2015/,profile-url,1,https://clevelandinternationalhalloffame.com/bishop-anthony-pilla-2015/
branka-malinar-2025,Branka Malinar,2025,Branka Malinar,https://clevelandinternationalhalloffame.com/branka-malinar/,profile-url,1,https://clevelandinternationalhalloffame.com/branka-malinar/
carl-robson-2022,Carl Robson,2022,Carl Robson,https://clevelandinternationalhalloffame.com/carl-robson/,profile-url,1,https://clevelandinternationalhalloffame.com/carl-robson/
carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Carolyn Balogh – 2016,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/,profile-url,1,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/
