personAId,personAName,personBId,personBName,evidenceType,confidence,sourcePageUrl,needsReview
abby-mina-2018,Abby Mina,pierre-bejjani-2023,Pierre Bejjani,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,true
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,sheila-murphy-crawford-2018,Sheila Murphy Crawford,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,true
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,ingrida-bublys-2019,Ingrida Bublys,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,true
atul-mehta-2018,Atul Mehta,mona-alag-2017,Mona Alag,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,true
atul-mehta-2018,Atul Mehta,paramjit-singh-2010,Paramjit Singh,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,true
atul-mehta-2018,Atul Mehta,ken-kovach-2012,Ken Kovach,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,true
basil-russo-2017,Basil Russo,mona-alag-2017,Mona Alag,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,true
basil-russo-2017,Basil Russo,jim-craciun-2017,Jim Craciun,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,true
basil-russo-2017,Basil Russo,bishop-anthony-pilla-2015,Bishop Anthony Pilla,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,true
berj-shakarian-2020,Berj Shakarian,paul-burik-2019,Paul Burik,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/berj-shakarian/,true
berj-shakarian-2020,Berj Shakarian,wael-khoury-2017,Wael Khoury,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/berj-shakarian/,true
berj-shakarian-2020,Berj Shakarian,leo-weidenthal-2010,Leo Weidenthal,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/berj-shakarian/,true
bill-miller-2017,Bill Miller,august-pust-2010,August Pust,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/inductees-europe/bill-miller/,true
branka-malinar-2025,Branka Malinar,raj-aggarwal-2025,Raj Aggarwal,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/branka-malinar/,true
carl-robson-2022,Carl Robson,aklilu-demessie-2026,Aklilu Demessie,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/carl-robson/,true
carolyn-balogh-2016-2016,Carolyn Balogh – 2016,dr-maria-pujana-2013,Dr. Maria Pujana,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/,true
carolyn-balogh-2016-2016,Carolyn Balogh – 2016,dr-maria-pujana-2013,Dr. Maria Pujana,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,true
david-gilbert-2025,David Gilbert,mayor-frank-jackson-2025,Mayor Frank Jackson,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/david-gilbert/,true
david-gilbert-2025,David Gilbert,svetlana-stolyarova-2025,Svetlana Stolyarova,profile-name-mention,0.54,https://clevelandinternationalhalloffame.com/david-gilbert/,true
