inducteeId,inducteeName,classYear,suggestedTheme,wordCount,sourcePageUrl,excerpt,candidateUse
abby-mina-2018,Abby Mina,2018,life-work,57,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,Abdullah (Abby) Mina Mr. Abdullah Mina is of great service to the Arab American Community in Cleveland in...,staff-draft-only
abby-mina-2018,Abby Mina,2018,life-work,44,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,Mr. Mina served on several boards such as the International Services Center at the Arab American Center for...,staff-draft-only
abby-mina-2018,Abby Mina,2018,recognition,68,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,He is well known as the host and producer of the local weekly Arabic Radio Program which can...,staff-draft-only
abby-mina-2018,Abby Mina,2018,recognition,56,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,"He received many proclamations and citations from government agencies and Arab American Institute in Washington DC. In 2010,...",staff-draft-only
abby-mina-2018,Abby Mina,2018,recognition,35,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,"In addition, for his perpetuating and enriching the Lebanese culture and working tirelessly to promote understanding among the...",staff-draft-only
abby-mina-2018,Abby Mina,2018,early-life,73,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,"Abby is described as a family man, educated, marketing consultant, advocate, and radio personality. Through the years, he...",staff-draft-only
abby-mina-2018,Abby Mina,2018,biographical-context,36,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,"One of his fondest memories is meeting King Hussein of Jordan on his visit to Williamsburg, Virginia and...",staff-draft-only
abby-mina-2018,Abby Mina,2018,education,114,https://clevelandinternationalhalloffame.com/inductees-asia/abby-mina/,"Arriving in Cleveland in the mid-1960s, Abdullah entered the insurance business. He is retired marketing consultant from Blue...",staff-draft-only
aklilu-demessie-2026,Aklilu Demessie,2026,early-life,127,https://clevelandinternationalhalloffame.com/aklilu-demessie/,Mr. Aklilu Demessie first came to the United States from Ethiopia for a year as part of an...,staff-draft-only
aklilu-demessie-2026,Aklilu Demessie,2026,community-service,46,https://clevelandinternationalhalloffame.com/aklilu-demessie/,"Demessie has always believed in giving back. For him, that means being personally invested in the community that...",staff-draft-only
aklilu-demessie-2026,Aklilu Demessie,2026,life-work,119,https://clevelandinternationalhalloffame.com/aklilu-demessie/,Demessie retired from the United Technologies Aerospace Landing Systems in June 2018. After retiring he worked at Collins...,staff-draft-only
aklilu-demessie-2026,Aklilu Demessie,2026,life-work,80,https://clevelandinternationalhalloffame.com/aklilu-demessie/,"He was instrumental in enlisting Ethiopia, the only and first African nation, to participate in the International Children’s...",staff-draft-only
aklilu-demessie-2026,Aklilu Demessie,2026,community-service,63,https://clevelandinternationalhalloffame.com/aklilu-demessie/,"Demessie joined DISATU EYES foundation as a co-founder with his best friend, Dr. Shiferaw G/ Mariam in 2016....",staff-draft-only
aklilu-demessie-2026,Aklilu Demessie,2026,community-service,85,https://clevelandinternationalhalloffame.com/aklilu-demessie/,"“I’ve been civic/community-minded for as long as I can remember,” Demessie said. “To the extent that I can...",staff-draft-only
aklilu-demessie-2026,Aklilu Demessie,2026,life-work,91,https://clevelandinternationalhalloffame.com/aklilu-demessie/,Demessie brings his passion for community involvement to the workplace as well: he mentored those who are new...,staff-draft-only
aklilu-demessie-2026,Aklilu Demessie,2026,education,98,https://clevelandinternationalhalloffame.com/aklilu-demessie/,"Demessie has also mentored and advised aspiring high school and college engineering students alike, as well as co-ops...",staff-draft-only
akram-boutros-2019,Akram Boutros,2019,life-work,39,https://clevelandinternationalhalloffame.com/akram-boutros/,"In his five years as the President and CEO of MetroHealth, the public health system in Cleveland, Akram...",staff-draft-only
akram-boutros-2019,Akram Boutros,2019,biographical-context,58,https://clevelandinternationalhalloffame.com/akram-boutros/,"With his unwavering commitment to delivering high-quality health care to everyone in Cuyahoga County, Akram Boutros has achieved...",staff-draft-only
akram-boutros-2019,Akram Boutros,2019,community-service,81,https://clevelandinternationalhalloffame.com/akram-boutros/,"In the five years since, he has created an Integrated Delivery System that provides care at more than...",staff-draft-only
