inducteeId,inducteeName,classYear,youtubeVideoId,assignment,confidence,alreadyPresent,sourcePageUrl,needsRightsReview
aklilu-demessie-2026,Aklilu Demessie,2026,Nlcx5vaC37I,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/aklilu-demessie/,true
akram-boutros-2019,Akram Boutros,2019,C6EuNqGZH5E,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/akram-boutros/,true
ambassador-edward-f-crawford-2024,Ambassador Edward F. Crawford,2024,P34omi5XUiY,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees/ambassador-edward-f-crawford/,true
anda-cook-2022,Anda Cook,2022,-jbd_GOy7hk,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/anda-cook/,true
andy-chakalis-2026,Andy Chakalis,2026,bS3656smMfM,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/andy-chakalis/,true
andy-fedynsky-2026,Andy Fedynsky,2026,Kp2oRe3w1EM,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/andy-fedynsky/,true
basil-russo-2017,Basil Russo,2017,RzY-lrL0HWo,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,true
beverly-kerecman-2025,Beverly Kerecman,2025,4jjbyRcwk3Y,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/beverly-kerecman/,true
bill-miller-2017,Bill Miller,2017,7AjUc16ao90,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees-europe/bill-miller/,true
branka-malinar-2025,Branka Malinar,2025,BKuCcyGsdek,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/branka-malinar/,true
carl-robson-2022,Carl Robson,2022,3Zl6-HYV89Q,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/carl-robson/,true
catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,2026,e3gWQ-kdEF4,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/catherine-jorgensen-mccutcheon/,true
david-gilbert-2025,David Gilbert,2025,XeheG0iGICs,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/david-gilbert/,true
dona-brady-2024,Dona Brady,2024,P34omi5XUiY,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees/dona-brady/,true
dr-eugene-jordan-2024,Dr. Eugene Jordan,2024,P34omi5XUiY,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees/dr-eugene-jordan/,true
erika-puussaar-2024,Erika Puussaar,2024,P34omi5XUiY,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees/erika-puussaar/,true
georgine-welo-2023,Georgine Welo,2023,JAWjKTg5nRg,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/georgine-welo/,true
ingrida-bublys-2019,Ingrida Bublys,2019,ObIi5VXcP7Q,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/ingrida-bublys/,true
jim-craciun-2017,Jim Craciun,2017,XZh7vcFsUns,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees-europe/jim-craciun/,true
joe-valencic-2020,Joe Valencic,2020,k8t6kOylcgE,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/joe-valencic/,true
johnny-k-wu-2024,Johnny K. Wu,2024,P34omi5XUiY,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees/johnny-k-wu/,true
joyce-mariani-2023,Joyce Mariani,2023,khFzLbaSw0o,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/joyce-mariani/,true
le-nguyen-2026,Le Nguyen,2026,T5peEDc8mE8,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/le-nguyen-class-of-2026-vietnames-heritage-cleveland-international-hall-of-fame/,true
lucy-torres-2026,Lucy Torres,2026,TU54lNScxz4,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/lucy-torres/,true
margaret-lynch-2020,Margaret Lynch,2020,mTJMMiUk5nI,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/margaret-lynch/,true
marilyn-madigan-2019,Marilyn Madigan,2019,PgUsrTbLHJ4,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/marilyn-madigan/,true
mayor-frank-jackson-2025,Mayor Frank Jackson,2025,diVkkJkn0sY,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/mayor-frank-jackson/,true
michael-d-polensek-2023,Michael D. Polensek,2023,IYv4tYCJ3m8,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/michael-d-polensek/,true
mona-alag-2017,Mona Alag,2017,2mG5GMQXUZQ,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees/mona-alag/,true
paul-burik-2019,Paul Burik,2019,b_zP9VqXJbY,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/paul-burik/,true
pierre-bejjani-2023,Pierre Bejjani,2023,11fqd7MQ8Fs,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/pierre-bejjani/,true
raj-aggarwal-2025,Raj Aggarwal,2025,DoZUzteeFMU,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/raj-aggarwal/,true
ray-pianka-2018,Ray Pianka,2018,D1Rgv29APUk,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees-europe/ray-pianka/,true
richard-fleischman-2019,Richard Fleischman,2019,5BYSPErYD3o,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/richard-fleischman/,true
sam-kim-2017,Sam Kim,2017,f78jlqAJnqM,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/inductees-asia/sam-kim/,true
sree-sreenath-2019,Sree Sreenath,2019,IXo79dbDE_M,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/sree-sreenath/,true
sudarshan-sathe-2023,Sudarshan Sathe,2023,q4nkyvZtzRU,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/sudarshan-sathe/,true
svetlana-stolyarova-2025,Svetlana Stolyarova,2025,ZT80-BrCIyk,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/svetlana-stolyarova/,true
taras-szmagala-2022,Taras Szmagala,2022,YPC3hutSgL8,profile-page-embed,0.88,true,https://clevelandinternationalhalloffame.com/taras-szmagala/,true
