placeId,placeName,band,person,displayName,harvestedKind,currentRole,role,decisionReference,note
place:cleveland-ohio,"Cleveland, Ohio",lead,anda-cook-2022,Anda Cook,moved_to,organized,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,beverly-kerecman-2025,Beverly Kerecman,born_in,organized,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,bishop-a-edward-pevec-2013,Bishop A. Edward Pevec,born_in,served,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,catherine-jorgensen-mccutcheon-2026,Catherine Jorgensen McCutcheon,moved_to,organized,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,moved_to,founded,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,helen-karpinski-1899-2002-2010,Helen Karpinski (1899 – 2002),born_in,organized,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,jack-coyne-2013,Jack Coyne,born_in,organized,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,jack-coyne-2013,Jack Coyne,moved_to,organized,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,josef-holzer-2013,Josef Holzer,moved_to,organized,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,lonnie-mccauley-2010,Lonnie McCauley,born_in,worked,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,pierre-bejjani-2023,Pierre Bejjani,moved_to,founded,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,richard-a-ganim-2015,Richard A. Ganim,born_in,founded,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,taras-szmagala-2022,Taras Szmagala,born_in,served,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,veronica-dahlberg-2024,Veronica Dahlberg,moved_to,lived,,,
place:cleveland-ohio,"Cleveland, Ohio",lead,victor-ruiz-2022,Victor Ruiz,moved_to,served,,,
place:cleveland-cultural-gardens,Cleveland Cultural Gardens,researched,anda-cook-2022,Anda Cook,associated_with_place,served,,,
place:cleveland-cultural-gardens,Cleveland Cultural Gardens,researched,berj-shakarian-2020,Berj Shakarian,associated_with_place,worked,,,
place:cleveland-cultural-gardens,Cleveland Cultural Gardens,researched,branka-malinar-2025,Branka Malinar,associated_with_place,organized,,,
place:cleveland-cultural-gardens,Cleveland Cultural Gardens,researched,johnny-k-wu-2024,Johnny K. Wu,associated_with_place,worked,,,
place:cleveland-cultural-gardens,Cleveland Cultural Gardens,researched,joyce-mariani-2023,Joyce Mariani,associated_with_place,served,,,
place:cleveland-cultural-gardens,Cleveland Cultural Gardens,researched,leo-weidenthal-2010,Leo Weidenthal,associated_with_place,founded,,,
place:cleveland-cultural-gardens,Cleveland Cultural Gardens,researched,paul-burik-2019,Paul Burik,associated_with_place,served,,,
place:cleveland-cultural-gardens,Cleveland Cultural Gardens,researched,svetlana-stolyarova-2025,Svetlana Stolyarova,associated_with_place,founded,,,
