placeId,name,band,neighborhood,tieCount,people,shortHistory,currentlyReviewed,contentVersion,approve,newHistory,decisionReference,note
place:cleveland-ohio,"Cleveland, Ohio",lead,,15,Anda Cook | Beverly Kerecman | Bishop A. Edward Pevec | Catherine Jorgensen McCutcheon | Dr. Dieu Thuc Do | Helen Karpinski (1899 – 2002) | Jack Coyne | Jack Coyne | Josef Holzer | Lonnie McCauley | Pierre Bejjani | Richard A. Ganim | Taras Szmagala | Veronica Dahlberg | Victor Ruiz,,false,place-30d02b405c3c,,,,
place:cleveland-cultural-gardens,Cleveland Cultural Gardens,researched,Rockefeller Park,9,Anda Cook | Berj Shakarian | Branka Malinar | Johnny K. Wu | Joyce Mariani | Leo Weidenthal | Paul Burik | Svetlana Stolyarova | Wael Khoury,"The gardens are one of Cleveland's clearest physical expressions of immigrant memory, cultural pride, and civic welcome. Multiple inductee biographies connect community leaders to ",true,place-02977c697d9a,,,,
place:cleveland-state-university,Cleveland State University,researched,Campus District,6,Alex Machaskee | Jeanette Grasselli Brown | José C. Feliciano | Margaret W. Wong | Mayor Frank Jackson | Monte Ahuja,"Cleveland State University connects education, civic leadership, law, business, and public service across the CIHOF collection. Several inductees are linked to CSU through study, l",true,place-df8c517c78a6,,,,
place:cleveland-city-hall,Cleveland City Hall,researched,Downtown,5,Dr. Eugene Jordan | Joe Valencic | Joyce Mariani | Mayor Frank Jackson | Tony Petkovsek,"City Hall appears in CIHOF records as a civic setting for international community recognition, including the City Hall Rotunda gatherings described in Mayor Frank Jackson's biograp",true,place-74ac737ecc97,,,,
place:one-world-day-rockefeller-park,One World Day at Rockefeller Park,researched,Rockefeller Park,5,Anda Cook | Dona Brady | Georgine Welo | Johnny K. Wu | Sheila Murphy Crawford,One World Day brings Cleveland communities together in the Cultural Gardens corridor. The starter record groups inductees whose biographies mention One World Day or major public cu,true,place-3306236d7431,,,,
place:asiatown,AsiaTown,researched,AsiaTown,4,Donna Hom | Giahoa Ryan | Johnny K. Wu | Margaret W. Wong,"AsiaTown is a Cleveland neighborhood context for Asian cultural life, business, organizing, and public festivals. The starter record groups nearby business and community references",true,place-58b8c418a2f3,,,,
place:cleveland-public-library,Cleveland Public Library,researched,Downtown,4,Andy Chakalis | Beverly Kerecman | Joe Valencic | Leo Weidenthal,The library is a downtown cultural anchor and public memory institution. It appears in several inductee records as part of Cleveland's civic and cultural infrastructure.,true,place-962a2b91892f,,,,
place:asia-plaza,Asia Plaza,researched,AsiaTown,2,Donna Hom | Johnny K. Wu,Asia Plaza is represented here as a business and gathering place connected to Cleveland Asian community life in the inductee records.,true,place-c42b75089bd2,,,,
place:central-kinsman,Central and Kinsman,researched,Central and Kinsman,2,Mayor Frank Jackson | Paul Sciria,Mayor Frank Jackson's biography names Central and Kinsman as formative Cleveland neighborhoods. The place record creates a bridge from personal story to neighborhood history.,true,place-a2d94f231313,,,,
place:sai-gon-plaza,Sai Gon Plaza,researched,AsiaTown,2,Dr. Dieu Thuc Do | Giahoa Ryan,Sai Gon Plaza is included as a business and community gathering place tied to Vietnamese American leadership in the collection.,true,place-a0a07d1a0963,,,,
place:united-states,United States,lead,,2,Giahoa Ryan | Shiv K. Aggarwal,,false,place-f897ac33e430,,,,
place:ashtabula,Ashtabula,lead,,1,Veronica Dahlberg,,false,place-e0cb426e18f0,,,,
place:beachwood-ohio,"Beachwood, Ohio",lead,,1,Alex Machaskee,,false,place-67f331df70e0,,,,
place:bentleyville-oh,"Bentleyville, OH",lead,,1,Taras Szmagala,,false,place-878de2aa79fd,,,,
place:cairo-egypt,"Cairo, Egypt",lead,,1,Rev. Mikhail Mikhail,,false,place-738462620387,,,,
