tieId,personA,personAName,personB,personBName,sourceType,suggestedKind,verificationLayer,evidence,sourceUrls,corpusIds,currentStatus,decision,kind,label,inverseLabel,decisionReference,note
preview:person-rel:8e40365f3332f3,dr-eugene-jordan-2024,Dr. Eugene Jordan,khalid-samad-2016-2016,Khalid Samad,collaborator,collaborated-with,documented-in-profile,"Dr. Eugene Jordan on the steps of City Hall When very few people outside of Texas and Oklahoma had ever heard of Juneteenth, Dr. Jordan (along with Khalid Samad, Carl Ewing and a few others) told the story and pushed for its celebration.",https://clevelandinternationalhalloffame.com/inductees/dr-eugene-jordan/,person-rel:8e40365f3332f3,relationship,,,,,,
preview:person-rel:9461272745110b,dr-jaya-shah-2012,Dr. Jaya Shah,mona-alag-2017,Mona Alag,collaborator,collaborated-with,documented-in-profile,"As a Community Activist, she with the help of Mona Alag, Gita Gidwani, Kamala Nagpal, Sayanies organized a Voluntary organization known as Community Helping Hands Organization.",https://clevelandinternationalhalloffame.com/dr-jaya-shah-2012/,person-rel:9461272745110b,relationship,,,,,,
preview:person-rel:4f74dddf1bb11e,jim-craciun-2017,Jim Craciun,mona-alag-2017,Mona Alag,family_relationship,family-of,documented-in-profile,"Jim Craciun and Matt Zone Matt Zone inducting Jim Craciun Jim Craciun giving his acceptance remarks Father Remus Grama from St Mary Romanian Orthodox Cathedral gave the invocation Inductees Mona Alag and Jim Craciun Inductees Mona Alag, Jim Craciun and Basil Russo Jim Craciun with friends and family Tom Patton, Dick Pogue, Jim Craciun, Rocky and Kelli Perk.",https://clevelandinternationalhalloffame.com/jim-craciun/,person-rel:4f74dddf1bb11e,context,,,,,,
preview:person-rel:e5a2d89b283fa7,berj-shakarian-2020,Berj Shakarian,leo-weidenthal-2010,Leo Weidenthal,family_spouse,family-of,documented-in-profile,"He is not only a man committed to highlighting Cleveland as an international city, but he also has a deep knowledge and sensitivity to Cleveland history, and specifically to the history of the Cultural Gardens and the vision of Leo Weidenthal.” Berj has been married for almost 49 year to his wife, Carol, whom he met on the Rapid Transit while commuting to school.",https://clevelandinternationalhalloffame.com/berj-shakarian/,person-rel:e5a2d89b283fa7,relationship,,,,,,
preview:person-rel:3c76d1ff7841cf,dr-jaya-shah-2012,Dr. Jaya Shah,ramesh-shah-2020,Ramesh Shah,family_spouse,family-of,documented-in-profile,"With support & help from her husband, Ramesh Shah, she takes the team of 18-20 Physicians and 10-12 Volunteers from USA/UK/Canada to Indian Rural Villages and helps thousands of villagers who cannot afford good Medical help and/or who do not have access to good Professional Healthcare providers.",https://clevelandinternationalhalloffame.com/dr-jaya-shah-2012/,person-rel:3c76d1ff7841cf,relationship,,,,,,
preview:person-rel:22c838ae73948c,joyce-mariani-2023,Joyce Mariani,mayor-frank-jackson-2025,Mayor Frank Jackson,ceremonial_connection,,documented-in-profile,She was presented the Italian Heritage Award in 2008 by Mayor Frank Jackson at Cleveland City Hall for her re-education of the public about the historical importance of the 1930 Italian Cultural Garden as a public cultural monument to Italy and for her dedication to the cultural arts of Italy.,https://clevelandinternationalhalloffame.com/joyce-mariani/,person-rel:22c838ae73948c,relationship,,,,,,
preview:person-rel:892660f65aeb45,ramesh-shah-2020,Ramesh Shah,paramjit-singh-2010,Paramjit Singh,ceremonial_connection,,documented-in-profile,Ramesh Shah was inducted by Federation of India Community Associations Board Chairman Sudarshan Sathe and welcomed to the Hall by Inaugural CIHF inductee Paramjit Singh.,https://clevelandinternationalhalloffame.com/ramesh-shah/,person-rel:892660f65aeb45,context,,,,,,
preview:person-rel:575645cc2e223c,wael-khoury-2017,Wael Khoury,pierre-bejjani-2023,Pierre Bejjani,ceremonial_connection,,documented-in-profile,"Heather Hodges Dr. Wael Khoury and George Koussa Friends of Dr. Wael Khoury Tony and Mrs Abdulkarim, Sawssan Khoury and Pierre Bejjani Dr. Nizar Zein and Pierre Bejjani honoring Dr. Khoury.",https://clevelandinternationalhalloffame.com/wael-khoury/,person-rel:575645cc2e223c,relationship,,,,,,
preview:person-rel:e9629e62fb9811,wael-khoury-2017,Wael Khoury,sam-kim-2017,Sam Kim,ceremonial_connection,,documented-in-profile,"Dr. Nizar Zein inducts Dr. Wael Khoury Dr. Nizar Zein, Dr. Wael Khoury and Mrs. Sawssan Khoury Dr. Wael Khoury giving his acceptance remarks Inductees Dr. Wael Khoury, Marianna Miller and Sam Kim CCWA group honoring Dr. Wael Khoury Steve and Mrs. Petras, Dr. Wael Khoury and Amb.",https://clevelandinternationalhalloffame.com/wael-khoury/,person-rel:e9629e62fb9811,context,,,,,,
preview:person-rel:cc2b7b68c1ddbd,andy-fedynsky-2026,Andy Fedynsky,hon-mary-rose-oakar-2012,Hon. Mary Rose Oakar,documented_mention,,documented-in-profile,"Following completion of a Masters Degree at John Carroll University in 1980, he joined the Washington staff of Congresswoman Mary Rose Oakar working on Cleveland development and interfacing with a myriad of ethnic and other community groups.",https://clevelandinternationalhalloffame.com/andy-fedynsky/,person-rel:cc2b7b68c1ddbd,relationship,,,,,,
preview:person-rel:84a82b11be4191,august-pust-2010,August Pust,senator-george-voinovich-2010,Senator George Voinovich,documented_mention,,documented-in-profile,"Prior to this appointment, he was the Director of Multicultural Affairs & International Relations in the Governor’s Office, State of Ohio (1991-2002) and he served as Executive Assistant to Cleveland Mayors George Voinovich and Michael White, for Ethnic Affairs/International Relations.",https://clevelandinternationalhalloffame.com/august-pust-2010/,person-rel:84a82b11be4191,relationship,,,,,,
preview:person-rel:dae721bffb7476,basil-russo-2017,Basil Russo,bishop-anthony-pilla-2015,Bishop Anthony Pilla,documented_mention,,documented-in-profile,"In 1995, Basil was instrumental in leading the effort to create the Bishop Anthony Pilla Italian American Studies program at John Carroll University.",https://clevelandinternationalhalloffame.com/inductees-europe/basil-russo/,person-rel:dae721bffb7476,relationship,,,,,,
