id,name,classYear,sourceRuntimePath,sourceWidth,sourceHeight,normalResolution,shortestSide,aspectRatio,fileSizeBytes,fileSizeLabel,qualityLabel,fitMode,reviewFlags,reviewRecommendation,rightsStatus,approvedForKiosk
alex-machaskee-2010,Alex Machaskee,2010,/media/images/alex-machaskee-2010/primary.png,298,302,298 x 302,298,0.987,126746,123.8 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
august-pust-2010,August Pust,2010,/media/images/august-pust-2010/primary.jpg,298,302,298 x 302,298,0.987,19606,19.1 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
dr-dieu-thuc-do-2010,Dr. Dieu Thuc Do,2010,/media/images/dr-dieu-thuc-do-2010/primary.jpg,298,302,298 x 302,298,0.987,28294,27.6 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
helen-karpinski-1899-2002-2010,Helen Karpinski (1899 – 2002),2010,/media/images/helen-karpinski-1899-2002-2010/primary.jpg,298,302,298 x 302,298,0.987,31252,30.5 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
irene-morrow-2010,Irene Morrow,2010,/media/images/irene-morrow-2010/primary.jpg,298,302,298 x 302,298,0.987,28935,28.3 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
jeanette-grasselli-brown-2010,Jeanette Grasselli Brown,2010,/media/images/jeanette-grasselli-brown-2010/primary.jpg,298,302,298 x 302,298,0.987,30649,29.9 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
leo-weidenthal-2010,Leo Weidenthal,2010,/media/images/leo-weidenthal-2010/primary.jpg,298,302,298 x 302,298,0.987,23967,23.4 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
lonnie-mccauley-2010,Lonnie McCauley,2010,/media/images/lonnie-mccauley-2010/primary.jpg,298,302,298 x 302,298,0.987,25910,25.3 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
margaret-w-wong-2010,Margaret W. Wong,2010,/media/images/margaret-w-wong-2010/primary.jpg,298,302,298 x 302,298,0.987,32445,31.7 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
paramjit-singh-2010,Paramjit Singh,2010,/media/images/paramjit-singh-2010/primary.jpg,298,302,298 x 302,298,0.987,46282,45.2 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
paul-sciria-2010,Paul Sciria,2010,/media/images/paul-sciria-2010/primary.jpg,298,302,298 x 302,298,0.987,26070,25.5 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
robert-j-haas-2010,Robert J. Haas,2010,/media/images/robert-j-haas-2010/primary.png,298,302,298 x 302,298,0.987,122974,120.1 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
senator-george-voinovich-2010,Senator George Voinovich,2010,/media/images/senator-george-voinovich-2010/primary.jpg,298,302,298 x 302,298,0.987,21841,21.3 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
albert-b-ratner-2011,Albert B. Ratner,2011,/media/images/albert-b-ratner-2011/primary.jpg,298,302,298 x 302,298,0.987,18624,18.2 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
gerald-m-quinn-2011,Gerald M. Quinn,2011,/media/images/gerald-m-quinn-2011/primary.jpg,298,302,298 x 302,298,0.987,36473,35.6 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
giahoa-ryan-2011,Giahoa Ryan,2011,/media/images/giahoa-ryan-2011/primary.jpg,298,302,298 x 302,298,0.987,21352,20.9 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
lucretia-stoica-2011,Lucretia Stoica,2011,/media/images/lucretia-stoica-2011/primary.jpg,298,302,298 x 302,298,0.987,39461,38.5 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
luis-martinez-2011,Luis Martinez,2011,/media/images/luis-martinez-2011/primary.jpg,298,302,298 x 302,298,0.987,17703,17.3 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
ralph-j-perk-2011,Ralph J. Perk,2011,/media/images/ralph-j-perk-2011/primary.jpg,298,302,298 x 302,298,0.987,22502,22.0 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
reverend-dr-otis-moss-jr-2011,"Reverend Dr. Otis Moss, Jr.",2011,/media/images/reverend-dr-otis-moss-jr-2011/primary.jpg,298,302,298 x 302,298,0.987,23183,22.6 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
tony-petkovsek-2011,Tony Petkovsek,2011,/media/images/tony-petkovsek-2011/primary.jpg,298,302,298 x 302,298,0.987,26349,25.7 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
vijaya-l-emani-2011,Vijaya L. Emani,2011,/media/images/vijaya-l-emani-2011/primary.jpg,298,302,298 x 302,298,0.987,43449,42.4 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
anthony-yen-yan-yuan-tai-2012,Anthony Yen (Yan Yuan Tai),2012,/media/images/anthony-yen-yan-yuan-tai-2012/primary.jpg,298,302,298 x 302,298,0.987,29081,28.4 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
dr-jaya-shah-2012,Dr. Jaya Shah,2012,/media/images/dr-jaya-shah-2012/primary.jpg,298,302,298 x 302,298,0.987,35741,34.9 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
fr-jim-o-donnell-2012,Fr. Jim O’Donnell,2012,/media/images/fr-jim-o-donnell-2012/primary.jpg,298,302,298 x 302,298,0.987,28499,27.8 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
hon-mary-rose-oakar-2012,Hon. Mary Rose Oakar,2012,/media/images/hon-mary-rose-oakar-2012/primary.jpg,298,302,298 x 302,298,0.987,23086,22.5 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
jose-c-feliciano-2012,José C. Feliciano,2012,/media/images/jose-c-feliciano-2012/primary.jpg,298,302,298 x 302,298,0.987,28658,28.0 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
ken-kovach-2012,Ken Kovach,2012,/media/images/ken-kovach-2012/primary.jpg,298,302,298 x 302,298,0.987,25740,25.1 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
milton-maltz-2012,Milton Maltz,2012,/media/images/milton-maltz-2012/primary.jpg,298,302,298 x 302,298,0.987,34837,34.0 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
vladimir-rus-2012,Vladimir Rus,2012,/media/images/vladimir-rus-2012/primary.jpg,298,302,298 x 302,298,0.987,31632,30.9 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
bishop-a-edward-pevec-2013,Bishop A. Edward Pevec,2013,/media/images/bishop-a-edward-pevec-2013/primary.jpg,298,302,298 x 302,298,0.987,22103,21.6 KB,low-resolution-source,cover,low-resolution-source,Replace with a higher-resolution portrait before permanent installation if possible.,needs-review,no
